LIVERPOOL ST JAMES CEMETERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ354893,Long,-2.9729678,Lat,53.396559,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,4.66,3.5,1.49,1.37,0.57,2.33,3.27,3.34,1.55,3.72,2.35,1.52,0.91,3.11,,,,,,,,,
February,,,,,,,,3.24,0.81,2.59,1.17,3.82,1.75,1.76,2.9,2.57,1.07,0.71,1.53,1.37,0.77,,,,,,,,,
March,,,,,,,,2.65,1.76,1.06,1.77,2.78,2.12,1.22,2.54,1.83,2.26,1.21,2.54,2.43,2.12,,,,,,,,,
April,,,,,,,,1.93,1.33,1.94,1.23,1.41,3.68,0.98,1.3,1.66,1.48,0.98,1.32,3.25,1.3,,,,,,,,,
May,,,,,,,,2.22,3.9,2.03,1.53,4.51,1.32,0.69,1.24,1.42,4.79,2.57,0.54,2.32,1.99,,,,,,,,,
June,,,,,,,,-999,3.18,4.73,3.95,1.74,4.8,2.48,1.5,2.19,1.27,1.69,3.05,0.98,-999,,,,,,,,,
July,,,,,,,,-999,1.36,2.77,5.63,2.21,4.81,3.53,3.55,2.23,3.94,1.56,6.99,3.97,-999,,,,,,,,,
August,,,,,,,,4.87,3.95,7,0.3,-999,2.17,2.88,2.65,1.62,1.81,1.91,3.13,5.26,2.97,,,,,,,,,
September,,,,,,,,3.43,3.9,3.38,3.1,-999,2.1,5.61,2.68,5.38,3.36,5.26,1.14,2.66,1.48,,,,,,,,,
October,,,,,,,,3.82,3.38,1.37,4.12,2.62,2.5,5.26,1.22,6.6,4.49,2.84,1.75,4.56,3.06,,,,,,,,,
November,,,,,,,,4.78,1.57,1.17,2.68,2.27,5.16,2.73,2.04,3.35,2.75,1.44,4.95,2.62,5.61,,,,,,,,,
December,,,,,,,,3.94,2.28,0.94,5.52,3.31,3.93,1.53,2.73,1.84,4.68,2.85,1.73,2.5,0.73,,,,,,,,,
Total,,,,,,,,41.68,30.92,30.47,32.37,32.5,36.67,31.94,27.69,32.24,35.62,25.37,30.19,32.83,27.97,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877 June/July bracketed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881 Aug/Sept bracketed and apportioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890 Observer absent June 17 to July 16 and rain allowed to accumulate. Therefore taken as bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
