LANGSETT RESERVOIR,,,,,,,,,,,,
Grid ref,SE215004,Long,-1.677354,Lat,53.499862,,,,,,,
Station no,3156/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.94,5.25,1.31,3.71,2.90,5.84,2.94,4.67,4.18,7.44,,
February,4.94,1.33,2.33,3.62,3.20,1.56,3.60,5.55,0.23,3.09,,
March,5.47,2.08,2.64,2.94,3.52,2.14,2.57,3.14,2.15,3.26,,
April,2.09,2.26,3.51,0.59,1.36,3.24,0.37,0.93,5.82,2.29,,
May,4.50,2.51,2.55,4.54,4.67,1.04,1.44,4.15,1.10,2.05,,
June,1.02,1.92,3.70,2.12,3.44,4.06,1.02,5.25,2.08,1.44,,
July,2.94,2.11,3.23,2.72,0.92,7.55,3.36,5.09,2.72,4.47,,
August,4.83,2.35,3.52,5.80,0.92,7.51,5.50,3.68,1.05,4.32,,
September,2.52,3.93,2.31,3.87,1.42,3.86,5.18,4.55,0.11,4.19,,
October,0.81,7.04,2.13,5.33,3.32,2.57,3.50,3.02,3.14,8.72,,
November,10.33,2.31,3.11,8.06,2.71,1.81,3.43,1.20,6.22,5.76,,
December,6.93,3.14,1.77,6.30,5.54,5.43,5.01,4.97,8.27,5.52,,
Total,50.32,36.23,32.11,49.60,33.92,46.61,37.92,46.20,37.07,52.55,,
Calc annual,50.32,36.23,32.11,49.60,33.92,46.61,37.92,46.20,37.07,52.55,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
