LANGSETT-RES,,,,,,,,,,,,,,,,,,,,
Grid ref,SE211003,Long,-1.6833911,Lat,53.49898,Elevation,820,ft.,,,,,,,,,,,,
Station no,3156/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,1.78,2.28,3.94,,1.31,3.71,,5.84,2.94,4.67,,7.44
February,,,,,,,,,2.3,7.17,4.94,1.33,,3.62,3.2,1.56,3.6,5.55,0.23,3.09
March,,,,,,,,,1.14,1.85,5.47,2.08,2.64,2.94,3.52,2.14,2.57,3.14,2.15,3.26
April,,,,,,,,,3.94,4.21,2.09,2.26,3.51,0.59,1.36,3.24,0.37,0.93,5.82,2.29
May,,,,,,,,,2.56,2.69,4.5,2.51,2.55,4.54,4.67,1.04,1.44,4.15,1.1,2.05
June,,,,,,,,5.05,0.53,1.13,1.02,1.92,3.7,2.12,3.44,4.06,1.02,5.25,2.08,1.44
July,,,,,,,,1.15,3.98,1.8,2.94,2.11,3.23,2.72,0.92,7.55,3.36,5.09,2.72,4.47
August,,,,,,,,5.45,2.26,3.1,4.83,2.35,3.52,5.8,0.92,7.51,5.5,3.68,1.05,4.32
September,,,,,,,,1.61,1.54,4.7,2.52,3.93,2.31,3.87,1.42,3.86,5.18,4.55,0.11,4.19
October,,,,,,,,2.07,4.22,1.83,0.81,7.04,2.13,5.33,3.32,2.57,3.5,3.02,3.14,8.72
November,,,,,,,,1.49,6.81,6.21,10.33,2.31,3.11,8.06,2.71,1.81,3.43,1.2,6.22,5.76
December,,,,,,,,4.26,7.63,2.16,6.93,3.14,1.77,6.3,5.54,5.43,5.01,4.97,8.27,5.52
Total,,,,,,,,,38.69,39.13,50.32,,,49.6,,46.61,37.92,46.2,,52.55
,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is beside Langsett Res at the stated altitude.,,,,,,,,,,,,,,,,,,,,
Long/lat on 1940s record puts the gauge 500m SE also at the stated altitude,,,,,,,,,,,,,,,,,,,,
