DALZELL HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS759550,Long,-3.979851,Lat,55.77236,Elevation,89,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,2.97,4.03,1.89,6.54,4.62,,1.32,0.46,2.94,3.2,4.97,2.09,1.94,1.4,0.79,1.43,6.01,1.65,1.45,0.61,4.42,1.33,1.6,0.91,1.09,4.37,3.14,2.4,1.57,,,,3.55,1.92,3.16,4.81,3.64,2.13,1.78,2.81,2.58,2.04,4.48,,,
February,,,,,0.69,0.85,3.51,3.09,1.32,,2.72,2.47,2.93,1.01,2.24,2.62,1.33,2.25,0.5,2.83,0.75,0.04,1.6,2.77,7.55,0,2,2.17,2.35,1.43,1.51,0.83,0.47,,,,1.62,1.76,2.6,1.96,4.03,4.68,1.88,2.01,3.22,4.22,4.82,,,
March,,,,,1.84,1.91,5.25,1.7,0.99,,2.06,2.8,3.68,0.35,1.79,0.95,2.16,1.26,2.05,1.21,2.29,3.06,0.62,1.68,3.77,2.11,3.72,3.35,1.24,2.06,0.11,2.01,2.47,,,,1.46,2.9,7,2.53,1.49,1.52,2.77,3.82,4.03,1.36,1.97,,,
April,,,,,1.47,0.87,1.27,2.79,1.87,,2.28,0.52,1.7,1.44,0.89,0.96,1.25,1.23,0.39,1.27,1.12,0.23,0.7,1.33,1.51,1.1,1.64,1.02,1.34,2.4,1.35,3.01,0.52,,,,0.93,1.01,3,2.24,3.77,2.42,1.02,2.49,1.78,2.23,2.41,,,
May,,,,,1.12,0.97,0.56,1.53,2.55,,0.49,2.06,1.93,1.44,3.02,3.18,2.96,0.35,2.38,2.75,3.07,1.53,2.89,2.03,2.16,0.39,0.56,1.78,1.53,2.69,1.67,1.16,1.54,,,,4.26,4.95,2.9,1.62,1.9,1.42,0.96,2.47,1.67,1.16,4.72,,,
June,,,,,0.73,1.94,2.82,1.74,1.21,,1.02,1.61,3.87,2.02,0.92,0.57,0.97,0.31,1.89,0.68,2.11,1.31,3.81,1.65,3.55,0.93,3.95,4.7,1.54,1.89,4.4,2.54,1.8,,,,0.67,6.67,1.81,2.53,2.72,1.85,4.68,4.01,0.52,1.22,3.23,,,
July,,,,,3.21,1.73,1.63,2.98,0.24,,3.35,3.67,4.02,3.31,4.34,0.91,2.01,2.12,5.4,2.3,3.04,0.98,1.47,2.76,2.87,3.84,3.7,1.56,1.06,3.56,2.6,1.74,2.53,,,,1.84,4.45,2.64,3.11,4.4,1.96,2.35,0.62,3.39,3.64,2.74,,,
August,,,,,4.28,1.78,3.79,5.72,3.28,,0.52,2.66,1.35,3.98,2.32,2.45,1.17,1.65,1.94,5.16,3.76,4.53,6.88,3.34,4.15,5.42,1.73,3.41,6.09,0.73,3.7,3.36,2.04,,,,3.16,4.22,2.47,1.74,5.73,1.55,4.44,1.02,2.7,2.61,5.07,,,
September,,,,,3.24,3.31,1.99,1.57,3.59,,3.43,2.36,2.01,3.53,1.91,3.75,3.43,2.63,1.66,1.35,1.92,5.71,3.2,1.38,0.11,1.84,3.73,2.9,3.74,3.07,3.72,2.09,3.34,,,,1.58,0.61,5.09,1.91,1.22,1.67,2.37,1.85,1.17,1.13,1.19,,,
October,,,,,4.5,3.64,4.18,3.36,3.15,,1.29,1.2,2.74,3.39,3.02,2.87,2.88,1.02,1.56,2.82,2.1,2.98,3.93,3.35,1.62,3.33,3.89,1.2,4.37,3.18,5.62,4.81,2.25,,,,5.59,5.84,1,5.29,1.84,3.85,3.29,1.7,1.41,1.87,5.75,,,
November,,,,,2.46,3.31,2.36,4.52,1.53,,4.7,3.37,3.11,4.49,1.92,1.56,2.69,1.86,6.11,1.06,5.9,2.69,2.71,1.71,3.05,3.57,0.89,2.69,4.02,4.71,6.22,2.99,1.4,,,,2.58,0.89,2.85,1.76,2.66,6.59,2.87,4.24,4.67,1.56,3.69,,,
December,,,,,1.3,2.91,3.77,3.13,1.26,,2.79,2.96,2.29,2.47,4,1.37,3.05,1.83,2.6,2.77,1.53,6.43,1.43,3.66,2.93,4.15,3.76,4.77,5.22,3.16,6.4,2.31,3.59,,,,1.9,1.79,2.11,4.11,1.72,4.42,6.8,3.1,5.28,4.08,3.81,,,
Total,,,,,27.81,27.25,33.02,38.67,25.61,,25.97,26.14,32.57,30.63,31.34,23.28,25.84,17.91,27.27,25.63,33.6,31.14,30.69,26.27,37.69,28.01,31.17,30.46,33.59,33.25,40.44,29.25,23.52,,,,29.14,37.01,36.63,33.61,35.12,34.06,35.21,30.14,32.42,27.12,43.88,,,
required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
