SHARNBROOK-CASTLE-CLOSE (GLEN LUI),,,,,,,,,,,,,,,,,,,,,
Grid ref,SP987597,Long,-0.55639762,Lat,52.226668,Elevation,220,ft,,,,,,,,,,,,,
Station no,1184,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,,,1.15,1.56,1.28,0.94,3.7,2.73,2.37,,
February,,,,,,,,,,,,,0.49,1.53,0.69,2.09,1.85,3.2,0.57,,
March,,,,,,,,,,,,,1.69,2.07,1.33,0.48,1.26,4.04,0.19,2.36,
April,,,,,,,,,,,,,2.88,0.72,1.12,3.01,1.78,2.57,0.13,,
May,,,,,,,,,,,,,3.86,1.44,0.69,0.99,0.96,3.85,1.77,,
June,,,,,,,,,,,,,0.65,2.04,1.01,2.75,4.46,1.78,0.79,,
July,,,,,,,,,,,,,3.68,1.38,2.78,0.75,5.45,1.62,1.17,,
August,,,,,,,,,,,,,2.99,0.79,2.12,1.77,0.45,2.48,3.8,,
September,,,,,,,,,,,,,2.28,1.83,3.02,4.2,2.4,1.63,2,,
October,,,,,,,,,,,,,3.36,1.27,1.61,2.38,1.43,2.41,2.34,,
November,,,,,,,,,,,,,1.33,1.88,1.87,3.92,2.29,1.81,,,
December,,,,,,,,,,,,,0.57,0.59,4.27,2.79,1.62,2.26,2.76,,
Total,,,,,,,,,,,,,24.93,17.1,21.79,26.07,27.65,30.38,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1932 Gauge moved,,,,,,,,,,,,,,,,,,,,,
1934 Total IDR,,,,,,,,,,,,,,,,,,,,,
1938 Nov estimated,,,,,,,,,,,,,,,,,,,,,
1939 Jan estimated,,,,,,,,,,,,,,,,,,,,,
