SHARNBROOK-CASTLE-CLOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP989595,Long,-0.55352893,Lat,52.224835,Elevation,210,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,1.88,1.01,3.37,3.12,1.16,2.52,1.46,1.68,2.15,4.08,2.14,1.99,2.66,1.14,2.46,1.12,2.53,2.11,3.05,1.1,2.17,1.3,,,,,,,,,
February,2.53,0.91,1.69,0.95,1.37,2.39,4.28,0.71,0.96,2.78,0.56,0.45,1.91,3.07,0.81,1.92,3.42,2.59,1.38,0.92,0.47,2.33,,,,,,,,,
March,0.54,1.81,2.09,2.87,3.7,1.26,5.3,1.4,0.63,3.64,1.85,0.71,1.54,1.88,0.73,0.98,0.84,2.08,1.41,0.06,1.75,0.26,,,,,,,,,
April,2.14,0.94,0.1,2.68,1.04,0.64,1.27,1.61,3.16,2,2.74,1,3.04,1.33,2.82,1.37,3.43,1.76,1.37,1.22,1.85,3.15,,,,,,,,,
May,2.29,1.43,1.52,2.71,0.99,2.68,1.77,1.89,1.97,0.92,1.31,1.25,1.23,1.51,4.14,2.43,1.9,0.69,1.5,0.94,2.69,3.07,,,,,,,,,
June,0.97,1.89,2.84,0.64,2.53,0.92,1.86,2.58,0.44,0.78,1.73,0.42,0.95,0.44,1.79,0.04,2.01,3.82,2.03,0.97,0.31,1.59,,,,,,,,,
July,2.18,0.92,3.46,1,1.7,4.96,1.58,2.58,3.4,2.41,2.77,0.25,3.69,3.11,3.56,1.58,1.34,2.01,2.3,1.95,2.47,3.13,,,,,,,,,
August,2.96,1.08,6.88,0.41,1.25,1.64,3.08,5.18,0.71,2.46,1,1.67,3.35,1.67,1.7,1.63,1.13,5.25,1.84,0.89,1.8,3.63,,,,,,,,,
September,0.62,1.28,1.22,2.42,1,1.46,0.9,2.32,4.52,1.37,1.99,1.24,2.32,2.54,3.33,2.23,1.67,4.5,0.69,0.23,3.62,2.39,,,,,,,,,
October,2.05,2.11,2.39,2.2,3.38,1.22,2.02,3.55,1.52,1.18,1,1.32,0.66,2.93,3.47,3.67,2.4,1.88,3.07,2.44,1.12,0.47,,,,,,,,,
November,3.46,2.73,1.63,1.88,2.15,2.33,3.47,1.03,1.99,1.62,1.2,1.57,1.08,1.34,1.96,1.51,3.24,2.65,2.31,4.36,3.24,2.57,,,,,,,,,
December,5.41,4.14,3.07,1.08,5.05,3.89,2.5,0.66,2.08,3.6,1.91,1.54,2.1,2.55,2.72,2.39,0.55,3.19,2.37,3.74,2.29,0.78,,,,,,,,,
Total,27.03,20.25,30.26,21.96,25.32,25.91,29.49,25.19,23.53,26.84,20.2,13.41,24.53,23.51,29.49,20.87,24.46,32.53,23.32,18.82,23.78,24.67,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932 Gauge moved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
