THE STYE (Stye D Gauge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY232107,Long,-3.187,Lat,54.486,Elevation,1077,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926
January,8.90,-999.00,23.25,-999.00,18.15,-999.00,-999.00,20.85,15.90,10.25,,,20.65,11.40,,12.10,11.65,13.95,15.00,14.40,34.65,-999.00,14.00,-999.00,,40.50,9.50,24.50,14.25,13.50,28.45
February,10.46,-999.00,17.50,-999.00,4.80,-999.00,-999.00,23.00,-999.00,9.15,7.70,,-999.00,,24.00,24.30,8.80,11.45,21.30,17.00,13.95,-999.00,18.20,-999.00,23.70,1.20,12.00,14.80,,17.80,25.00
March,19.65,22.10,7.70,9.65,0.65,-999.00,9.20,26.75,-999.00,14.00,10.70,14.20,-999.00,,10.60,8.00,22.03,16.20,12.50,8.60,-999.00,5.00,8.20,-999.00,21.25,25.50,-999.00,5.00,,5.00,7.34
April,5.65,11.15,13.10,17.00,9.75,-999.00,6.55,4.50,16.10,13.55,3.65,7.85,4.90,,9.00,13.20,4.20,14.20,5.30,10.00,-999.00,4.40,2.60,-999.00,16.40,2.60,-999.00,11.10,7.50,16.10,7.28
May,0.93,6.70,7.30,8.65,9.00,3.10,6.30,9.40,9.00,11.05,18.45,11.30,10.55,7.30,7.30,9.70,6.60,8.90,7.60,1.10,10.20,7.30,3.40,3.00,15.00,7.50,12.00,11.50,14.90,17.50,8.28
June,7.00,9.90,10.40,2.40,10.50,9.00,2.20,3.00,3.66,7.20,4.95,22.45,9.65,5.20,3.20,11.50,12.65,13.25,2.50,2.30,7.70,7.50,-999.00,6.05,6.25,1.15,12.50,8.50,13.10,1.10,9.92
July,12.06,9.90,5.10,8.75,4.70,2.40,8.95,13.40,6.85,6.80,10.60,4.40,10.35,20.90,11.20,3.50,11.22,2.30,6.30,12.60,7.80,4.20,-999.00,4.00,16.50,6.00,14.50,14.35,14.40,5.00,11.71
August,10.37,20.40,23.60,4.10,13.70,16.00,9.65,23.40,10.80,12.30,14.25,16.25,14.70,9.50,20.20,10.40,16.20,8.20,12.10,4.68,7.90,21.60,11.15,9.80,12.00,18.20,13.00,28.70,16.00,16.10,12.62
September,17.20,12.20,13.00,14.95,15.45,12.95,6.15,11.25,9.10,10.85,4.60,2.73,18.70,6.20,1.80,9.65,6.47,5.00,6.00,2.55,8.60,17.60,24.25,16.20,12.50,5.00,12.00,22.00,23.20,9.55,14.92
