THE STYE (Original Stye B Gauge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY231107,Long,-3.189,Lat,54.486,Elevation,1077,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931
January,,12.00,,15.60,-999.00,11.80,23.00,4.10,-999.00,-999.00,11.50,-999.00,26.80,-999.00,23.40,-999.00,,23.70,21.00,14.60,30.00,9.28,24.40,15.60,15.60,13.20,13.70,18.85,19.10,18.20,35.70,-999.00,20.20,-999.00,,41.00,17.00,25.20,15.40,15.00,29.20,,,4.95,28.85,
February,,15.00,,-999.00,-999.00,0.70,5.10,-999.00,-999.00,-999.00,13.20,-999.00,20.50,-999.00,7.75,-999.00,,27.65,-999.00,12.30,11.40,9.20,-999.00,16.00,45.10,26.90,11.05,14.00,28.90,24.80,15.30,-999.00,20.80,-999.00,22.00,1.65,19.50,18.40,,18.00,25.50,,,-999.00,2.15,
March,,4.00,3.65,-999.00,-999.00,6.60,3.40,-999.00,12.00,-999.00,24.10,24.95,9.50,12.15,0.90,-999.00,,30.50,-999.00,18.00,12.30,18.40,-999.00,6.50,12.30,10.10,26.83,19.65,17.20,10.45,-999.00,6.10,9.40,-999.00,26.00,33.00,-999.00,6.90,,6.10,9.41,,11.25,-999.00,10.20,2.10
April,,9.00,,6.10,7.40,10.50,5.54,1.85,6.15,11.00,6.63,13.20,14.40,20.80,11.65,-999.00,7.65,6.55,20.45,17.85,4.70,9.85,6.15,9.80,11.60,16.50,5.95,17.55,7.70,13.15,-999.00,9.50,2.80,-999.00,18.00,3.70,-999.00,12.00,7.80,17.50,9.58,,7.51,6.22,4.40,7.25
May,,4.10,,6.50,7.90,5.65,15.26,7.88,9.00,0.60,1.25,8.45,9.25,9.60,10.40,4.00,7.65,11.45,11.10,12.45,22.95,13.85,12.20,6.20,9.40,12.60,8.00,10.60,10.60,1.15,12.40,8.50,4.00,3.60,17.30,9.00,13.00,12.00,16.50,19.20,9.06,,1.33,10.88,4.75,7.50
June,,2.25,,1.73,20.25,4.60,9.95,5.20,11.05,3.30,7.95,10.40,12.10,2.90,12.10,10.20,2.70,4.10,4.80,8.95,5.95,25.70,12.80,5.40,3.80,13.90,14.50,16.20,3.40,3.15,9.55,8.30,-999.00,8.65,7.00,1.95,13.75,9.60,14.00,1.50,18.80,,16.92,9.40,6.10,12.50
July,,13.20,36.20,12.20,16.30,6.10,10.82,13.15,8.12,12.23,12.83,10.70,6.30,11.38,5.90,2.85,11.75,15.20,8.26,9.00,13.55,6.20,12.30,25.00,12.80,4.20,12.70,2.80,9.10,16.15,9.60,5.80,-999.00,5.20,16.50,7.50,15.50,15.52,15.50,5.50,12.16,,20.15,16.80,7.90,21.75
August,,4.40,13.65,12.30,19.40,19.63,23.08,15.10,15.20,19.07,13.20,23.05,26.85,4.75,14.95,18.50,11.00,26.50,12.40,13.95,16.70,20.30,17.75,11.70,24.60,12.00,18.40,9.60,14.90,5.95,8.90,27.00,14.10,10.40,12.25,24.15,14.80,30.50,17.30,16.50,12.37,,18.53,23.72,22.05,9.80
September,,16.20,8.20,9.90,17.90,38.75,24.20,12.95,0.30,7.30,,15.20,14.65,18.00,17.40,15.63,7.55,15.00,12.00,12.45,5.90,3.30,22.00,7.80,2.20,10.10,8.50,5.45,7.70,3.38,10.80,24.20,28.50,20.80,14.50,5.75,12.40,22.50,26.00,10.65,15.12,,13.15,5.75,9.20,8.75
October,,14.30,24.10,19.10,14.20,16.15,15.70,23.60,16.15,13.00,13.30,10.65,14.60,16.80,17.20,22.10,15.90,32.50,13.35,15.35,20.00,19.15,7.30,27.10,8.10,15.30,21.70,11.00,4.90,4.30,-999.00,27.20,29.25,2.85,2.16,8.30,8.30,33.00,15.00,22.50,-999.00,,21.26,20.25,28.75,10.20
