THE STYE (Main Stye C Gauge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY231107,Long,-3.189,Lat,54.486,Elevation,1077,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926
January,11.80,-999.00,27.40,-999.00,23.25,-999.00,,23.45,20.70,14.35,,,,15.75,,,,,,,,,,,,42.50,16.50,26.20,16.35,14.70,29.50
February,13.10,-999.00,20.80,-999.00,7.60,-999.00,,27.40,-999.00,12.23,11.55,,-999.00,,,,,,,,,,,,24.30,1.75,18.00,19.50,,19.10,26.85
March,25.00,24.60,9.60,12.20,1.00,-999.00,,30.65,-999.00,17.80,12.55,18.60,-999.00,,,,,,,,,,,,26.25,36.00,-999.00,7.40,,6.20,11.02
April,6.80,13.05,14.55,20.50,11.90,-999.00,7.75,6.30,20.55,17.95,4.90,10.00,6.35,10.25,,,,,,,,,,,17.25,4.10,-999.00,12.30,8.55,19.20,10.44
May,1.30,8.50,9.30,9.80,10.80,4.10,7.55,11.35,11.25,12.60,23.10,13.90,12.45,8.40,,,,,,,,,,,18.20,9.40,14.12,12.10,15.45,19.80,10.25
June,7.90,10.00,12.20,2.95,12.35,10.18,2.60,4.30,4.95,9.10,5.80,25.60,12.45,5.80,,,,,,,,,,,7.25,2.20,13.00,10.00,14.50,1.40,11.85
July,13.25,10.93,6.40,11.65,5.95,2.90,11.60,15.80,8.30,8.85,13.90,5.90,12.60,24.50,,,,,,,,,,,17.00,8.50,15.35,17.00,15.15,5.60,13.95
August,13.50,23.50,26.80,4.90,15.05,18.45,10.95,26.20,13.00,14.25,16.35,20.43,18.00,12.60,,,,,,,,,,,13.20,25.10,16.50,30.36,18.12,16.90,15.54
September,21.35,15.35,14.80,18.20,17.85,15.95,7.45,14.80,12.20,12.60,6.00,3.15,22.35,7.70,,,,,,,,,,,14.00,6.20,15.00,22.65,25.25,11.00,17.21
October,11.55,10.93,14.85,16.90,17.50,22.40,15.65,32.00,13.40,15.80,19.95,19.30,7.65,30.50,,,,,,,,,,,2.30,8.00,8.20,35.00,15.15,22.00,-999.00
November,6.25,30.10,22.60,23.70,12.45,30.30,12.00,-999.00,17.70,19.25,19.15,14.60,15.40,12.70,,,,,,,,,,,14.25,8.00,8.00,27.00,22.50,,-999.00
December,28.50,28.00,29.15,9.80,39.05,20.30,18.95,-999.00,21.10,,,,18.20,23.50,,,,,,,,,,,16.40,33.00,26.50,18.50,34.10,,
