"SWANBOURNE HOUSE",,,,,,,,,,,,
Grid ref,SP799270,Long,-0.839220,Lat,51.935782,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,2.66,0.79,3.84,1.06,1.93,0.90,,
February,,,,,3.12,0.59,1.96,1.17,1.01,0.44,,
March,,,,,1.42,2.77,1.68,0.94,2.74,2.32,,
April,,,,,1.24,2.02,0.75,2.66,4.33,2.00,,
May,,,,,2.43,1.06,1.43,3.37,2.60,1.76,,
June,,,,,0.77,3.66,3.70,2.20,1.42,3.99,,
July,,,,,3.91,0.45,0.45,1.72,2.27,3.57,,
August,,,,,2.75,3.94,1.31,1.98,2.99,3.27,,
September,,,,,1.56,1.73,1.38,0.60,1.44,2.96,,
October,,,,,1.08,1.43,4.43,4.18,1.48,3.71,,
November,,,,,1.59,2.90,3.89,2.14,1.02,0.67,,
December,,,,,1.98,0.92,2.34,3.80,2.07,2.73,,
Total,,,,,24.51,22.26,27.16,25.82,25.30,28.32,,
Calc annual,0.00,0.00,0.00,0.00,24.51,22.26,27.16,25.82,25.30,28.32,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,,
