MEARE,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST450415,Long,-2.78734,Lat,51.17055,Elevation,35,ft,,,,,,,,,,,,,
Station no,2010,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,3.27,1.53,3.43,1.91,1.96,1.93,2.07,0.52,3.39,,,,
February,,,,,,,,,1.99,1.04,0.56,2.19,0.02,3.83,0.2,2.58,1.88,,,,
March,,,,,,,,,1.51,0.13,1.78,0.8,1.75,2.82,2.41,0.59,2.75,,,,
April,,,,,,,,,1.22,0.72,2.54,2.17,2.49,1.15,2.36,4.2,2.2,,,,
May,,,,,,,,,0.84,2.32,2.05,3.36,3.82,1.79,0.96,1.48,1.28,,,,
June,,,,,,,,,2.75,2.1,0.5,3.64,1.09,1.16,0.98,2.71,2.27,,,,
July,,,,,,,,,1.72,0.43,1.83,4.6,2.37,1.78,0.84,0.43,4.98,,,,
August,,,,,,,,,1.25,0.63,2.8,3.5,1.06,1.4,4.38,1.55,0.69,,,,
September,,,,,,,,,1.45,0.76,3.27,1.53,4.94,1.27,1.38,3.46,2.77,,,,
October,,,,,,,,,6.56,4.87,2.71,0.78,6.13,2.72,3.03,5.09,1.58,,,,
November,,,,,,,,,2.59,6.87,3.47,3.65,2.57,0.59,1.18,6.39,,,,,
December,,,,,,,,,2.38,6.42,3.33,1.29,2.5,0.82,6.59,3.96,,,,,
Total,,,,,,,,,27.53,27.82,28.27,29.42,30.7,21.26,26.38,32.96,,,,,
,,,,,,,,,,,,,,,,,,,,,
7 Mill Batch Terrace Meare Glastonbury,,,,,,,,,,,,,,,,,,,,,
Mill Batch Terrace not found Assume it was in Millbatch and north end matches elevation,,,,,,,,,,,,,,,,,,,,,
1930 Gauge moved 100yrds N,,,,,,,,,,,,,,,,,,,,,
1936 Nov Gauge broken Unable to continue,,,,,,,,,,,,,,,,,,,,,
1939 Jan new gauge supplied but observer unable to restart due to ill health,,,,,,,,,,,,,,,,,,,,,
1940 Jan Gauge moved to Godney Stn No 2011/5,,,,,,,,,,,,,,,,,,,,,
