"TOW LAW, THE MANSE, DURHAM",,,,,,,,,,,,,,,,,,,,
Grid ref,NZ122390,Long,-1.8120047,Lat,54.745815,Elevation,988,ft,,,,,,,,,,,,
Station no,RR6329,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,3.96,3.92,2.46,7.36,1.87,,,,,3.68,1.64,2.23,4.26,0.87,2.16,1.19,
February,,,,2.59,1.64,1.49,1.59,0.74,,,,0.1,2.9,3.58,1.88,1.13,0.68,1.71,1.31,
March,,,,2.84,2.1,2.26,4.72,,,,,2.58,0.91,0.71,1.36,3.3,3.04,5.07,1.83,
April,,,,2.38,2.27,2.02,1.66,,,,,3.98,1.81,0.42,1.89,2.16,0.97,1.97,2.44,
May,,,,2.75,1.47,4.25,4.1,,,,,3.17,3.45,1.99,2.38,1.67,0.52,1.66,2.58,
June,,,,3.28,0.79,1.12,1.61,,,,,0.41,3.94,1.66,3.74,2.58,1.78,2.83,1.21,
July,,,,3.75,6.42,1.23,5.46,,,,,5.2,1.63,3.46,2.06,7.16,2.32,1.07,0.84,
August,,,,1.47,0.77,3.36,1.12,,,,,6.31,4.34,3.52,2.48,2.01,1.63,2.67,2.37,
September,,,,5,2.06,2.4,2.35,,,,,2.96,3.13,2.42,1.31,0.72,3.72,2.28,0.17,
October,,,,2.81,2.01,5,6.98,,,,,3.59,6.75,0.83,6.32,4.61,5.71,1.83,5.67,
November,,,,1.14,1.92,2.77,5.01,,,,,3.37,1.55,2.7,1.3,5.87,1.41,2.06,3.01,
December,,,,1.57,1.95,1.04,4.29,,,,,3.67,0.95,2.2,2.42,2.37,4.2,2.63,2.17,
Total,,,,33.54,27.32,29.4,46.25,,,,,,35.04,25.13,29.37,37.84,26.85,27.94,24.79,
,,,,,,,,,,,,,,,,,,,,
1891 Jan estimated hence removed along with total,,,,,,,,,,,,,,,,,,,,
