LOCH AWE (INVERINAN),,,,,,,,,,,,
Grid ref,NM998176,Long,-5.237965,Lat,56.308410,,,,,,,
Station no,5407/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.86,9.02,9.17,10.21,4.65,7.57,13.60,9.39,3.47,6.51,,
February,5.35,5.12,6.00,5.92,3.87,3.42,4.96,-999.00,4.83,6.49,,
March,5.47,6.48,3.87,6.00,2.19,4.96,8.78,2.80,6.15,2.66,,
April,6.70,3.61,5.01,4.00,6.22,3.48,3.71,4.12,6.31,7.80,,
May,1.13,2.27,3.65,4.24,4.27,7.02,2.12,6.21,1.98,3.42,,
June,2.70,5.25,1.07,7.14,5.19,3.99,5.64,2.24,4.96,5.37,,
July,6.31,4.78,7.07,4.96,1.17,7.82,7.26,5.02,9.29,4.62,,
August,4.80,7.42,6.73,8.23,2.84,6.96,6.71,6.56,3.98,6.63,,
September,5.64,7.86,12.17,10.39,10.85,6.10,5.79,6.59,2.90,4.48,,
October,4.14,8.85,6.65,16.34,9.96,7.07,13.04,8.94,9.51,2.87,,
November,11.00,3.71,17.17,15.03,3.77,7.11,4.19,2.88,9.63,8.10,,
December,15.70,10.23,10.02,19.26,13.71,13.08,12.07,7.75,11.78,11.95,,
Total,77.80,74.60,88.58,111.72,68.69,78.58,87.87,67.09,74.79,70.90,,
Calc annual,77.80,74.60,88.58,111.72,68.69,78.58,87.87,62.50,74.79,70.90,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,4.59,0.00,0.00,,
