BOLDRE-BATTRAMSLEY-CLOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ307990,Long,-1.56486,Lat,50.78981,Elevation,119,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,1.35,3.07,4.14,4.8,2.22,6.06,1.35,4.84,2.55,2.22,2.1,2.78,0.92,5.68,6.93,3.79,5.88,3.14,4.6,4.05,5.56,2.26,1.54,2.24,4.21,5.52,0.49,
February,,,,5.96,0.28,4.27,2.07,3.87,2.09,1.17,0.76,2.09,0.02,3.17,0.13,2.71,3.36,5.61,0.65,1.6,4.16,3.15,0.35,1.07,0.66,1.85,2.88,1.39,1.18,1.47,
March,,,,1.64,1.68,0.24,0.5,3.22,2.96,0.19,1.58,1.42,1.57,3.52,3.03,0.82,2.69,3.55,0.43,1.28,3.62,4.19,3.64,0.75,0.25,0.85,,7.52,0.45,1.64,
April,,,,3.58,3.08,2.83,3.33,2.97,2.23,1.24,2.84,3.34,3.29,1.65,2.28,3.46,1.89,2.92,0,2.36,1.13,1.98,1.81,0.75,1.94,1.05,2.24,2.34,1.73,1.7,
May,,,,2,4.4,4.21,2.37,0.63,1.28,2.74,2.64,3.19,4.69,2.44,0.85,1.02,0.84,3.39,1.73,1.19,0.7,1.71,3.42,3.32,0.43,1.98,3.29,1.55,3.29,2.74,
June,,,,0.53,2,0,3.87,2.62,2.48,1.39,0.97,2.61,1.91,1.14,1.12,4.17,3.58,0.79,0.76,1.95,0.27,1.15,0.45,2.12,1.98,2.86,4.39,1.73,2.55,0.56,
July,,,,1,3.69,3.42,1.61,3.07,1.79,3.53,2.09,5.34,3.81,2.06,2.15,1.17,4.03,1.67,2.48,4.28,3.38,2.05,1.92,2.12,3.63,1.65,1.23,1.08,,0.33,
August,,,,2.45,2.61,3.54,1.1,3.68,2.64,1.99,3.3,3.75,0.93,0.96,4.19,3.42,0.28,1.28,1.86,2.65,0.03,4.16,2.86,1.88,4.08,2.29,4.32,1.05,3.22,1.42,
September,,,,2.72,5.24,3.24,0.66,4.93,2.32,0.62,3.55,1.88,3.86,3.8,2.86,3.51,3.91,3.79,1.54,1.45,1.56,0.72,2.9,2.11,1.69,2.13,3.97,1.08,3.31,4.47,
October,,,,5.44,5.1,4.24,3.18,1.83,7.79,4.88,3.05,1.01,6.78,2.16,1.9,5.23,1.4,4.61,3.56,7.25,3.99,0.94,4.12,4.22,4.62,2.75,1.54,1.28,,8.35,
November,,,,1.14,2.95,3.24,8.41,3.67,2.51,9.79,5.74,4.45,2.26,0.56,3.35,8.01,4.06,2.11,3.84,6.33,7.81,2.76,1.05,2.02,5.48,0.53,5.39,1.55,2.02,3.92,
December,,,,3,5.25,3.93,0.54,4.45,2.5,6.06,4.26,0.89,1.32,1.09,10.47,4.08,2.92,6.06,3.78,1.59,2.8,1.8,4.11,2.4,2.07,4.82,4.1,3.26,4.97,1.41,
Total,,,,,39.35,37.3,32.44,37.16,36.65,34.95,35.62,32.52,32.66,24.65,35.11,38.52,34.64,42.71,24.42,37.81,32.59,29.21,30.68,28.32,29.09,24.3,,28.04,,28.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is for Batramsley Close which according to the census was near Batramsley Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR on sheet is for Battramsley Cross 0.5 miles S but at same elevation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923 Note says Record corrected Falls of .01 to .10 had been entered as .01 ins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923 Total in brackets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 Mar Part estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948 July Oct Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
