MAIDENHEAD-THE-NEW-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU866807,Long,-0.75328981,Lat,51.518592,Elevation,130,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,782/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,3.235,1.595,2.595,1.83,2.65,0.98,3.02,1.27,2.02,2.13,1.75,0.61,4.09,3.85,2.5,4.63,2.53,2.67,3.38,4.28,1.55,,,,,,
February,,,,,0.415,2.99,2.125,3.76,1.825,0.7,0.815,1.55,0.15,3.13,0.15,2.5,1.79,4.87,0.4,1.09,2.35,2.42,1.11,1.3,1.32,,,,,,
March,,,,,0.955,0.735,0.345,2.245,2.48,0.1,1.275,0.17,1.83,2.47,2.22,0.49,1.27,3.06,0.34,1.3,2.42,3.05,,0.45,0.19,,,,,,
April,,,,,2.41,1.485,2.735,1.66,1.265,0.95,1.72,3.29,2.3,1.19,1.63,3.77,2.05,2.48,0.1,3.11,1.76,1.32,,0.73,1.35,,,,,,
May,,,,,3.79,2.755,1.41,1.175,2.115,1.995,2.18,2.89,5.5,2,0.61,1.23,1.56,2.7,1.86,1.37,1.57,1.53,2.78,1.87,0.48,,,,,,
June,,,,,2.915,0,3.345,2.64,2.6,1.06,0.53,1.43,0.96,1.99,1.63,3.25,3.41,1.91,0.57,1.23,0.81,1.9,,2.02,1.34,,,,,,
July,,,,,3.57,4.17,2.155,2.8,2.24,1.565,2.125,3.95,2.47,1.35,1.43,0.87,3.28,1.93,1.44,2.92,2.33,4.8,1.62,1.36,2,,,,,,
August,,,,,2.66,2.855,0.915,2.94,2.32,0.96,3.43,4.77,2.33,0.52,2.87,1.65,0.43,1.68,2.5,2.18,0.04,4.27,2.02,1.57,0.9,,,,,,
September,,,,,3.57,2.925,1.165,4.185,0.955,0.545,3.475,1.97,2.4,2.34,1.63,4.08,2.8,2.92,1.37,0.64,1.1,0.12,1.29,1.99,2.12,,,,,,
October,,,,,3.585,3.085,2.385,1.825,3.37,3.36,1.165,0.74,4.27,1.83,2.09,3.41,1.87,2.3,2.71,4.01,2.52,0.87,3.4,3.08,3.43,,,,,,
November,,,,,2.06,1.7,4.91,3.185,2.23,6.38,2.53,2.99,1.73,0.79,1.89,4.85,4.1,1.42,2.94,4.74,6.89,2.55,1.37,1.36,4.33,,,,,,
December,,,,,3.365,2.825,0.39,3.9,2.57,4.565,2.665,0.69,0.58,0.65,5.76,2.65,2.24,2.61,3.39,1.37,1.4,1.36,2.67,1.13,2.09,,,,,,
Total,,,,,32.53,27.12,24.475,32.145,26.62,23.16,24.93,25.71,26.54,20.39,23.66,29.36,28.89,31.73,20.12,28.59,25.72,26.86,,21.14,21.1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is New Hall. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1931 readings amended but without comment, left in record",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 1940 adjusted for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The 1920s records are presented unusually. Firstly the 3rd decimal place is added as a ""1/2"", which has been assumed to be 0.005. Secondly the observer uses a - for the decimal poin i.e. 2.24 is expressed 2-41 but more oddly a 0 behind in the first decimal place is expressed as a long dash, i.e 2.06 is written as 2--6. By making these interpretations the annual totals match in 5 years and differ by 0.01 and 0.005 in the other two years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
