"BIRMINGHAM, THE CRESCENT 480' Monthly Gauge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP061869,Long,-1.911612,Lat,52.479992,Elevation,480,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,2.56,2.22,0.79,0.7,3.35,2.07,1.77,1.77,1.66,3.87,1.21,2.07,0.23,3.56,3.64,1.57,1.05,2.25,2.74,1.03,3.9,0.88,0.67,0.98,2.17,0.92,4.21,4.34,1,3.16,1.25,2.09,2.41,4,3.16,2.5,4.09,1.85,3.11,2.34,,,,,
February,,,,,,,0.6,0.53,0.51,1.54,0.6,0.13,1.27,2.69,2.22,0.32,0.76,2.54,1.4,2.24,4.48,1.5,1.58,1.38,3.79,0.6,2.17,1.13,1.14,0.67,3.03,1.75,1.58,1.62,2.37,4.31,3.84,0.98,1.62,2.71,1.23,0.13,2.53,6.58,0.55,3.29,,,,,
March,,,,,,,3.54,2.1,2.43,2.98,1.58,1.24,0.84,0.48,1,1.98,2.62,3.29,0.81,1.2,0.67,1.88,1.64,4.72,1.52,3.54,1.19,1.06,2.12,2.97,0.63,1.82,4.23,4.99,2.36,0.91,3.36,2.04,1.36,4.64,2.89,1.19,1.78,1.42,0.93,0.88,,,,,
April,,,,,,,1.96,1.25,2.12,3.43,0.84,2.21,1.08,0.34,1.77,2.22,1.46,2.12,1.92,2.28,0.96,1.93,2.79,1.5,1.1,2.09,1.45,1.9,2.44,1.87,2.06,0.73,0.19,4.26,1.13,1.1,1.27,1.77,2.82,1.55,4.69,1.1,3.4,2.63,2.6,1.21,,,,,
May,,,,,,,6.29,1.92,0.89,4.16,2.25,3.24,1.46,2.07,1.99,0.62,0.24,1.55,4.02,2.03,2.06,1.13,2.71,2.46,2.13,0.23,2.3,3.8,2.6,1.7,1.6,0.66,2.69,2.22,1.38,2.49,2.34,3.79,1.34,1.1,2.09,1.44,1.3,1.54,5.39,2.33,,,,,
June,,,,,,,1.08,2.16,2.31,0.4,1.71,2.9,2.54,0.83,2.27,0.84,1.92,3.66,0.98,2.83,2.45,2.63,2.51,1.75,0.32,2.65,2.7,2.34,3.27,3.46,1.41,1.9,5.24,1.61,2.26,1.12,1.82,2.86,1.1,1.16,3.73,0.57,0.64,0.31,2.59,0.23,,,,,
July,,,,,,,3.24,0.81,5.5,1.73,2.28,2.11,2.29,2.1,2.92,3.51,1.18,0.75,1.09,1.16,2.15,2.24,1.61,2.11,2.44,1.14,1.02,2.88,2.22,3.04,2.4,0.1,3.45,1.25,2.79,7.12,1.51,2.31,2.38,3.34,3.44,0.75,6.1,5.47,2.61,3.69,,,,,
August,,,,,,,1.6,2.08,2.93,3.23,3.85,3.57,3.57,1.72,2.35,2.73,1.56,3.6,2.74,1.07,2.89,2.42,4.96,4.59,1.76,4.4,0.64,2.26,2.54,1.95,5.1,1.29,7.19,0.96,2.04,1.18,3.71,5.94,1.31,2.38,1.82,4.28,4.5,2.4,3.93,2.1,,,,,
September,,,,,,,1.93,1.86,1.3,2.27,1.32,1.54,2.34,1.69,1.92,0.48,4.64,2.36,0.66,2.59,0.78,0.83,1.47,2.67,1.61,0.89,1.13,0.88,1.74,2.72,0.81,1.53,0.86,1.92,0.94,0.5,0.2,2.24,6.03,2.02,2.06,1.56,2.77,2.97,3.11,4.16,,,,,
October,,,,,,,3.85,2.08,0.37,3.47,1.62,5.63,2.63,2.32,3.43,2.63,2.5,1.36,2.86,2.39,3.27,1.97,2.4,6.6,0.43,1.57,4.67,5.31,2.05,3.62,2.3,2.18,2.72,3.15,1.95,1.95,3.52,3.19,1.31,2.97,3.08,2.84,0.62,3.07,5.29,2.34,,,,,
November,,,,,,,1.81,1.91,4.65,1.1,3.04,2.75,1.65,1.49,2.55,3.71,1.2,2.15,2.55,1.6,2.74,1.16,2.22,1.66,1.44,2.78,3.1,2.01,1.92,0.79,4.29,2.93,2.32,2.72,4.12,2.7,3.44,1.58,1.92,1.8,0.68,2.02,1.39,2.8,1.38,2.75,,,,,
December,,,,,,,4.24,1.64,2.47,1.97,0.64,3.04,1.49,2.9,2.05,2.14,3.57,2.65,2.37,2,4.77,5.25,1.91,1.8,1.97,0.8,1.88,3.47,2.31,4.94,5.2,5.67,3.97,1.32,6.53,5.29,2.51,0.99,3.66,4.07,2.62,2.21,4.47,2.98,4.6,4.31,,,,,
Total,,,,,,,32.7,20.56,26.27,26.98,23.08,30.43,22.93,20.4,26.13,25.05,22.86,28.1,21.63,24.95,30.86,24.51,26.85,33.49,21.25,21.72,26.15,27.92,25.02,28.71,31,21.48,38.65,30.36,28.87,31.83,28.77,29.78,27.26,31.74,31.49,20.59,33.59,34.02,36.09,29.63,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_07_pt4-page-038.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1-page-049.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_16_pt1-page-160.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
