"BIRMINGHAM, THE CRESCENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP061869,Long,-1.911612,Lat,52.479992,Elevation,495,Ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,2.73,1.59,2.61,2.03,0.69,0.61,2.95,2.05,1.71,1.37,1.58,3.38,1.21,1.92,0.91,3.35,3.43,1.27,0.91,1.93,2.6,0.75,3.46,0.81,0.67,
February,,,,,1.31,3.06,0.56,0.49,0.47,1.35,0.54,0.12,1.09,2.57,2.14,0.11,0.66,2.48,0.91,2.16,4.14,1.38,1.44,1.27,3.45,0.47,1.94,1,0.95,
March,,,,,2.34,1,3.2,1.46,2.27,2.8,1.48,1.02,0.76,0.46,0.99,1.82,2.37,2.82,0.58,1.01,0.6,1.69,1.38,4.52,1.46,3.23,1.03,0.75,2.86,
April,,,,,1.7,2.5,1.88,1.17,1.96,3.37,0.78,1.73,0.97,0.32,1.56,2.15,1.27,1.81,1.8,2.06,0.87,1.83,2.58,1.41,0.89,1.95,1.32,1.77,2.28,
May,,,,,0.86,2.25,6,2.19,0.9,3.8,2.15,2.79,1.43,2.03,1.99,0.62,0.21,1.43,3.67,1.99,1.87,1.11,2.45,2.34,2.05,0.34,2.21,3.7,2.44,
June,,,,,2.19,3.9,1.06,2.26,2.24,0.39,1.58,2.86,2.46,0.82,2.27,0.8,1.64,3.47,0.87,2.64,2.36,2.47,2.37,1.64,0.29,2.54,2.64,2.08,3.03,
July,,,,,2.9,0.6,3.05,0.88,5.32,1.71,2.22,2.1,2.15,2.1,2.51,3.44,1.18,0.71,0.99,1.09,1.98,1.47,1.45,1.93,2.4,1.14,1.07,1.93,2.11,
August,,,,,1.37,2.03,1.56,2.03,2.74,3,3.41,3.47,3.57,1.67,2.32,2.59,1.56,2.42,2.56,1.03,2.52,2.01,4.74,4.61,1.63,3.81,0.66,2.12,2.43,
September,,,,,1.1,3.46,1.84,1.69,1.24,2.2,1.23,1.46,2.34,1.58,1.87,0.44,4.25,1.69,0.59,2.37,0.67,0.75,1.42,2.42,1.56,0.84,1.11,0.83,1.75,
October,,,,,1.48,4.56,3.68,2.05,0.35,3.25,1.54,5.24,2.4,2.19,3.33,2.53,2.36,1.27,2.55,2.29,2.93,1.79,2.05,6.09,0.4,1.39,4.54,4.86,1.94,
November,,,,,1.43,3.12,1.65,1.74,3.92,1.03,2.81,2.48,1.62,1.38,2.44,3.49,1.08,1.89,2.2,1.39,2.12,1.1,2,1.39,1.18,2.63,2.94,1.86,1.8,
December,,,,,2.15,0.83,3.96,1.51,2.33,1.86,0.53,2.74,1.45,2.83,1.78,1.88,3.39,2.49,2.17,1.69,4.66,4.65,1.71,1.7,1.78,0.77,1.29,3.18,1.91,
Total,,,,,21.56,28.9,31.05,19.5,24.43,25.37,21.22,28.06,21.95,19.32,24.78,23.25,21.18,24.4,19.8,23.07,28.15,21.52,24.5,31.25,19.69,19.86,24.21,24.89,24.17,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887 - Dec value is 1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_07_pt4-page-037.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1-page-048.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_16_pt1-page-159.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
