MOURNE MOUNTAINS (OTT),,,,,,,,,,
Grid ref,IJ280272,Long,-6.040129,Lat,54.177934,Elevation,1500,ft,,
Station no,"""6207/1/2""",,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,5.25,9.4,9.2,3.1,7.82
February,,,,,,1.4,5.95,5.25,2.25,8.25
March,,,,,,4.35,9.63,2.2,7.85,7.3
April,,,,,,1.5,1.95,1.65,4.6,6.75
May,,,,,,1.65,4.65,6.4,2,3.15
June,,,,,,6.4,1.25,9.7,2.25,4.69
July,,,,,,5,9.1,5.5,4.55,10.7
August,,,,,2.16,11.47,7.5,10.9,1.65,6.15
September,,,,,3.45,6.05,8,13.15,4,5.9
October,,,,,3.3,4.1,5.82,4.3,6.7,15.4
November,,,,,5,2.55,3.6,3.05,7.75,9.4
December,,,,,8.42,9.55,9.7,7.9,16.65,5.41
Total,,,,,,59.27,76.55,79.2,63.35,90.92
,,,,,,,,,,
16166,OTT MOUNTAIN ,01/01/1955,Current ,,,,,,,
