HEATON MERSEY (STOCKPORT),,,,,,,,,,,,
Grid ref,SJ871906,Long,-2.195533,Lat,53.412050,,,,,,,
Station no,2930,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.64,1.83,2.63,2.21,2.35,1.85,3.23,1.29,1.84,1.67,,
February,2.33,1.14,0.85,2.16,2.42,1.32,2.84,1.58,2.78,1.25,,
March,0.64,1.66,1.53,3.52,1.65,3.29,2.23,2.46,2.44,2.50,,
April,1.74,1.81,1.97,1.23,1.93,1.86,1.67,1.03,1.37,2.52,,
May,1.67,0.98,3.46,3.21,1.70,0.88,2.69,3.63,2.37,1.98,,
June,2.48,1.62,1.02,1.08,0.95,2.67,1.29,5.04,1.96,1.92,,
July,2.32,4.75,1.79,2.96,1.10,2.71,1.76,3.01,4.57,4.22,,
August,4.98,1.48,3.17,3.54,4.27,4.37,2.85,3.37,3.16,2.86,,
September,1.17,0.50,1.05,4.54,0.76,2.00,1.46,0.70,3.39,2.09,,
October,3.43,2.65,3.48,5.76,1.41,2.52,5.34,2.99,1.35,4.53,,
November,1.47,3.23,1.30,2.99,1.94,2.44,2.02,2.08,2.64,1.14,,
December,3.21,3.51,1.98,0.86,2.20,0.68,3.25,2.55,2.36,5.44,,
Total,29.08,25.16,24.23,34.06,22.68,26.59,30.63,29.73,30.23,32.12,,
Calc annual,29.08,25.16,24.23,34.06,22.68,26.59,30.63,29.73,30.23,32.12,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
