STOCKPORT HEATON MERSEY,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2930,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.69,4.43,2.58,2.57,2.61,1.99,2.54,2.93,6.26,1.27,3.90,
February,2.92,0.38,3.50,3.50,0.94,4.80,2.54,1.25,3.21,0.91,0.24,
March,3.35,2.38,2.03,1.63,0.86,1.44,1.48,2.94,1.46,0.90,2.57,
April,4.17,1.16,2.76,2.79,1.64,1.97,1.21,2.13,0.79,0.91,1.52,
May,4.10,1.87,1.23,3.25,5.44,4.48,3.67,1.35,1.25,2.48,1.73,
June,2.39,0.30,2.58,0.87,2.66,0.14,2.42,5.03,5.93,1.23,1.69,
July,7.71,0.91,3.94,4.82,3.25,2.05,2.89,2.87,1.60,2.11,6.51,
August,1.78,4.55,4.66,4.30,5.73,3.71,3.31,3.81,4.25,3.27,4.88,
September,2.53,0.91,2.83,3.83,3.10,4.04,3.11,5.55,1.04,1.54,2.71,
October,1.32,2.00,0.31,4.37,4.16,3.76,3.59,1.85,2.93,4.77,4.77,
November,0.87,1.85,2.18,3.82,1.16,2.38,3.82,2.76,4.31,6.39,3.52,
December,2.15,4.03,3.81,3.63,3.09,2.15,1.52,0.54,1.69,5.04,2.37,
Total,36.98,24.77,32.41,39.38,34.64,32.91,32.08,33.01,34.72,30.82,36.41,
Calc annual,36.98,24.77,32.41,39.38,34.64,32.91,32.10,33.01,34.72,30.82,36.41,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.02,0.00,0.00,0.00,0.00,
