BROUGHTON IN FURNESS WOODLAND PARSONAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD247897,Long,-3.1584138,Lat,54.297813,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,5.61,6.61,8.3,4.12,12.36,7.14,3.82,2.02,0.62,4.42,9.57,8.35,4.96,7.38,4.57,1.93,4.19,8.28,3.47,,,,,,,,
February,,,,1.56,3.78,1.8,6.51,4.96,3.2,6.78,5.85,5.97,4.63,5.72,4.53,6.83,2.18,3.2,1.33,3.56,1.26,0.75,,,,,,,,
March,,,,4.26,4.27,1.55,4.41,4.69,3.11,4.34,2.95,7.6,4.36,1.67,5.45,6.37,7.01,2.83,4.37,3.67,5.74,2.29,,,,,,,,
April,,,,1,1.16,1.88,3.74,3.11,2.68,2.51,2.77,2.22,5.58,3.29,1.04,4.13,3.3,2.69,2.25,2.68,1.95,2.78,,,,,,,,
May,,,,2.81,1.71,2.98,0.54,4.05,4.32,2.6,2.97,5.32,2.82,2.79,5.09,2.43,6.84,2.34,2.4,3.61,3.31,2.78,,,,,,,,
June,,,,2.82,0.68,4.74,4.15,3.86,3.97,5.71,3.9,7.44,4.04,5.93,1.28,2.27,2.85,0.62,2.13,1.26,5.55,1.72,,,,,,,,
July,,,,6.25,2.63,3.25,3.1,4.75,0.99,11.85,6.16,10.62,,2.76,6.27,4.76,6.15,2.38,9.76,3.21,5.15,3.08,,,,,,,,
August,,,,5.08,9.27,4.35,4.63,7.9,6.18,8.98,1.69,5.61,,6.74,2.13,1.95,3.42,1.56,4.62,7.66,5.73,10.1,,,,,,,,
September,,,,3.28,5.29,8.28,5.77,3.22,5.79,6.14,5.68,3.58,,6.21,6.16,8.76,7.08,5.25,2.18,4.32,6.32,7.27,,,,,,,,
October,,,,8.75,7.6,6.84,3.81,10.44,6.46,3.27,1.14,3.68,,6.88,5.3,5.75,7.26,5.54,5.88,6.62,5.22,5.74,,,,,,,,
November,,,,4.26,7.52,8.17,3.65,10.38,2.87,1.35,8.36,6.51,,8.35,2.03,6.12,7.03,3.86,8.56,3.53,12.58,6.7,,,,,,,,
December,,,,2.69,5.59,3.05,11.32,8.93,3.5,5.36,7.91,5.87,,6.85,6.68,2.6,8.03,5.1,5.86,7.59,0.82,9.9,,,,,,,,
Total,,,,48.37,56.11,55.19,55.75,78.65,50.21,62.71,51.4,65.04,,66.76,54.31,56.93,68.53,39.94,51.27,51.9,61.91,56.58,,,,,,,,
