CHERTSEY-FLUTTERS-HILL,,,,,,,,,,
Grid ref,SU992651,Long,-0.57611987,Lat,51.376298,Elevation,200,ft.,,
Station no,RR8768,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,-999,3.14,1.63,0.57,1.8,0.81,
February,,,,-999,1.19,0,0.26,2.48,1.58,
March,,,,0.2,1.27,1.01,2.86,3.15,0.74,
April,,,,0,1.6,1.15,0.42,1.74,0.91,
May,,,,0.75,1.85,0.33,0.24,0.85,2.14,
June,,,,0.9,2.05,0.22,2.31,1.95,1.49,
July,,,,2.37,4.22,4.63,1.09,0.69,0.55,
August,,,,1.35,2.26,1.88,1.76,2.02,1.12,
September,,,,0.96,1.92,1.47,6.33,1.66,0.82,
October,,,,5.65,3.88,3.11,2.45,0.78,3.61,
November,,,,1.81,3.46,3.26,1.21,1.16,2.55,
December,,,,2.2,1.91,1.98,2.82,2.45,2.27,
Total,,,,18.94,28.75,20.67,22.32,20.73,18.59,
,,,,,,,,,,
NGR is Flutters Hill. Altitudes match.,,,,,,,,,,
580m from CHERTSEY-LONG-CROSS and adds some years,,,,,,,,,,
