SUNBURY-HANWORTH-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ105704,Long,-0.41218061,Lat,51.421851,Elevation,50,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,1.89,1.6,3.58,1.46,0.93,0.96,2.35,1.74,0.48,1.43,3.24,1.65,0.65,2.01,1.04,2.57,2.99,1.02,0.76,2.41,2.86,1.01,3.46,0.7,1.94,
February,,,,,0.91,2.82,0.41,0.58,0.92,2.14,0.99,0.02,1.2,2.88,1.68,0.17,0.32,2.4,1.29,2.28,3.93,1.34,0.81,1.1,2.47,0.75,1.63,1.21,0.87,
March,,,,,0.91,1.55,1.46,1.64,3,1.36,1.39,2.25,0.98,0.2,1.33,1.45,3.13,3.79,1.15,0.5,1.03,1.89,1.59,2.39,1.58,3.44,1.01,0.78,2.35,
April,,,,,0.98,1.51,1.42,1.12,1.76,2.26,1.54,0.77,0.94,0.03,1.78,1.51,0.65,1.48,0.94,2.35,0.93,1.94,0.65,1.91,1.06,1.43,0.8,3.24,2.47,
May,,,,,0.64,2.36,3.98,1.44,1.23,3.19,1.81,2.42,1.2,0.79,1.9,0.68,0.34,1.62,2.42,1.31,1.35,0.38,2,2.57,2.51,0.41,2.05,1.53,1.74,
June,,,,,1.88,1.61,0.92,0.99,2.92,0.91,2.64,1.59,2.96,0.78,1.98,0.17,2.19,2.69,2.02,1.28,2.12,1.05,3.82,6.5,0.92,4.36,1.93,2.77,2.08,
July,,,,,2.11,0.26,1.79,0.76,4.89,1.35,4.63,2.67,1.99,1.95,3.64,4.69,1.24,0.67,0.51,0.75,0.65,2.83,1.37,3.03,2.45,0.67,1.03,1.43,2.19,
August,,,,,1.09,0.94,0.59,1.84,2.42,2.42,1.72,4.22,3.63,1.4,2.44,2.73,2.35,2.63,1.13,0.6,2.88,1.7,3.32,3.39,1.56,2.4,1.06,2.2,2.45,
September,,,,,1.47,4.37,1.58,1.91,1.16,1.25,0.74,1,2.53,0.93,1.14,1.46,5.81,2.05,0.58,2.3,0.62,0.99,2.08,3.4,1.25,1.48,1.62,0.46,1.25,
October,,,,,0.89,3.08,2.09,1.43,1.24,2.9,0.82,5.77,3.46,4.14,3.97,2.71,2.27,0.68,3.36,2.32,1.62,1.27,1.59,5.87,1.45,1.35,3.29,3.78,,
November,,,,,1.33,2.68,2.33,3,3.67,0.75,1.9,2.21,2.28,2.01,3.33,3.67,1.21,0.95,2.35,4.14,1.82,0.41,1.63,1.88,1.62,2.71,3.66,2.11,,
December,,,,,2.14,1.09,3.62,1.17,1.34,1.27,1.32,3.19,1.3,2.58,2.02,2.23,3.39,2.73,2.54,1.25,2.48,3.01,1.34,1.84,1.98,0.73,1.9,2.96,,
Total,,,,,16.24,23.87,23.77,17.34,25.48,20.76,21.85,27.85,22.95,19.12,28.45,23.12,23.55,23.7,19.33,21.65,22.42,17.83,20.96,36.29,21.71,20.74,23.44,23.17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is the Pumping Station at the end of Hanworth Road, the named observer is W B Bryan who was Engineer for the East London Water Company, who owned the pumping station, and subsequently Chief Engineer for the Metropolitan Water Board also named on the 1900s record ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
