CHICHESTER-FUNTINGTON-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,
Grid ref,SU811081,Long,-0.848915,Lat,50.866726,Elevation,112,ft,,,,,,,,,,,,
Station no,435,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,5.41,1.01,1.07,3.83,2.47,1.33,2.03,3.96,4.92,2.65,4.65,3.79,3.75
February,,,,,,,,1.45,1.11,5.13,6.21,0.65,1.51,2.96,1.54,0.19,4.82,3.12,0.09,3.86
March,,,,,,,,0.73,1.55,1.54,4.81,3.36,0.48,3.51,1.28,0.37,1.97,1.69,2.66,1.99
April,,,,,,,,1.67,1.15,2.36,2.69,1.62,1.7,0.32,0.43,1.66,0.22,0.7,2.32,1
May,,,,,,,,2.51,1.93,1.24,2.32,3.03,2.37,2.69,4.12,0.53,1.11,3.17,0.25,1.44
June,,,,,,,,1.83,0.48,1.35,1.98,1.34,2.68,3.73,2.57,2.04,1.38,3.27,0.85,1.98
July,,,,,,,,1.19,0.24,3.7,2.77,0.44,3.87,4.48,0.46,2.13,4.98,1.97,1.73,4.21
August,,,,,,,,4.53,1.32,3.84,5.31,2.03,1.86,3.3,1.75,4.15,2.67,4.66,3.37,4.78
September,,,,,,,,1.79,2.53,3.02,3.23,3.99,4.19,3,2.45,4.06,4.1,5.31,0.16,6.28
October,,,,,,,,2.38,8.16,0.47,1.15,4.35,3.39,3.74,2.65,1.68,2.1,2.85,2.93,7.79
November,,,,,,,,1.75,3.43,6.24,7.82,4.58,1.94,5.81,2.08,0.79,2.86,2.91,4.37,6.82
December,,,,,,,,4.33,2.25,2.55,3.09,3.48,1.17,3.15,4.68,5.06,2.63,4.36,7.78,4.57
Total,,,,,,,,29.57,25.16,32.51,45.21,31.34,26.49,38.72,27.97,27.58,31.49,38.66,30.3,48.47
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1960 Aug IDR,,,,,,,,,,,,,,,,,,,,
