CRESCENT NR DUNDEE,,,,,,,,,,
Grid ref,NO 398 302,Long,-2.97768,Lat,56.460532,Elevation,40,ft,,
Station no,RR2069,,,,,,,,,
,,,,,,,,,,
,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799
January,1.25,2.38,2.12,-999,0.25,-999,,,,
February,0.37,1.25,2.37,-999,-999,-999,,,,
March,1.38,0.62,3.13,-999,-999,-999,,,,
April,-999,1.38,1.56,-999,-999,-999,,,,
May,-999,1.5,2.38,0.69,-999,-999,,,,
June,2.2,2.25,4.19,-999,-999,-999,,,,
July,1.7,0.75,3.75,-999,-999,-999,,,,
August,-999,3.25,2.87,2.75,-999,4.75,,,,
September,-999,0.87,2.13,-999,4.06,-999,,,,
October,-999,6.62,4.37,-999,3,-999,,,,
November,3.25,-999,2.81,3.62,-999,2.5,,,,
December,1.87,-999,2.44,4,-999,5.5,,,,
Total,22.27,24.81,34.12,28.12,30.44,29.12,,,,
