"MOWHAUGH, YETHOLM, ROXBURGHSHIRE",,,,,,,,,,,,,,,,,,,,
Grid ref,NT817206,Long,-2.2910832,Lat,55.47887,Elevation,612,ft,,,,,,,,,,,,
Station no,RR7166,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,3.75,0.5,2.5,2,,1.75,0.85,,,,,,,,,,
February,,,,0.75,1.75,0.5,2.5,,0.75,1.75,,,,,,,,,,
March,,,,2,3,0.75,1.25,,1.5,,,,,,,,,,,
April,,,,2,1.5,0.75,2.05,,2.75,1.75,,,5.41,,,,,,,
May,,,,3.75,3.25,9.25,0.25,,6.5,2.75,,,,,,,,,,
June,,,,6.24,1.25,0.75,0.5,,,2,,,1.8,,,,,,,
July,,4.8,,0.62,0.75,1.25,4,,,,,,4.4,,,,,,,
August,,2.9,,4.58,1,1.25,1.5,,5,,,,,,,,,,,
September,,3.6,,,2.25,1.75,,,4,,,,,,,,,,,
October,,0.6,,,15.75,11,0.5,,0.75,,,,,,,,,,,
November,,,,6.36,1.75,1.5,1.25,,1.95,,,,,,,,,,,
December,,,,2.61,2,1.25,1,,5,,,,,,,,,,,
Total,,,,,34.75,32.5,,,,,,,,,,,,,,
