"FYVIE CASTLE",,,,,,,,,,,,
Grid ref,NJ764393,Long,-2.394819,Lat,57.443401,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,1.81,2.00,,
February,,,,,,,,,1.74,1.78,,
March,,,,,,,,,4.29,6.66,,
April,,,,,,,,,2.51,3.48,,
May,,,,,,,,,1.36,3.15,,
June,,,,,,,,,1.82,1.57,,
July,,,,,,,,,2.85,2.53,,
August,,,,,,,,,2.47,3.03,,
September,,,,,,,,,4.52,3.42,,
October,,,,,,,,,1.42,3.60,,
November,,,,,,,,,1.50,4.06,,
December,,,,,,,,,4.18,3.99,,
Total,,,,,,,,,30.47,39.27,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.47,39.27,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
