BRAUNTON-THE-LINHAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS494362,Long,-4.15244,Lat,51.10553,Elevation,70,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1846/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,4.73,5.08,5.96,3.84,3.32,4.66,6.25,3.04,4.29,3.5,3.16,7.26,1.45,1.66,4.45,3.88,,,,,,,,
February,,,,,,,6.03,1.29,1.81,3.24,3.9,0.28,2.77,0.82,3.64,2.72,0.41,1.6,1.17,5.55,4.18,1.44,,,,,,,,
March,,,,,,,3.28,0.52,1.61,2.49,3.54,2.59,1.4,0.3,1.36,0.99,6.44,1.44,1.83,1.47,4.62,3.01,,,,,,,,
April,,,,,,,2.83,0.16,2.21,3.84,1.12,1.55,1.28,2.84,0.85,1.93,2.11,2.3,2.41,2.37,4,4.55,,,,,,,,
May,,,,,,,1.63,2.21,1.21,1.07,2.51,4.12,2.93,0.71,4.15,3.64,2.23,2.13,3.13,1.04,2.63,3.15,,,,,,,,
June,,,,,,,0.99,2,1.63,0.6,1.08,0.36,2.79,2.73,3.25,3.81,3.29,2.14,0.44,1.64,0.9,1.67,,,,,,,,
July,,,,,,,3.24,2.78,5.62,4.76,2.22,4.55,2.34,1.99,5.15,2.84,1.63,1.84,1.64,3.89,1.46,1.13,,,,,,,,
August,,,,,,,0.94,7.11,3.28,0.33,4.53,3.94,3.12,3.93,1.71,6.05,0.44,4.13,2.14,7.36,5.21,5.8,,,,,,,,
September,,,,,,,4.58,1.28,0.62,2.71,0.48,3.75,6.45,4.01,2.1,4.91,1.52,2.6,1.51,7.5,3.04,4.3,,,,,,,,
October,,,,,,,2.9,6.2,3.23,2.96,2.75,3.41,3.68,5.14,3.81,1.64,1.58,5.02,7.93,2.2,1.31,4.71,,,,,,,,
November,,,,,,,2.04,5.99,7.87,7.5,1.73,1.18,3.53,7.31,0.75,5.03,3.47,2.38,4.48,7.62,4.34,4.53,,,,,,,,
December,,,,,,,3.8,3.93,2.88,4.08,3.6,4.9,2.2,3.64,6.43,3.93,3.55,4.72,4.1,4.68,4.07,4.85,,,,,,,,
Total,,,,,,,36.99,38.55,37.93,37.42,30.78,35.29,38.74,36.46,37.49,40.99,29.83,37.56,32.23,46.98,40.21,43.02,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Linhay Lower Park Road Braunton Next door to Southlea marked on 1914 OS map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952 Ceased because of old age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
