BRAWNTON (THE LINHAY),,,,,,,,,,,,
Grid ref,SS494362,Long,-4.152521,Lat,51.105262,,,,,,,
Station no,1846/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.45,3.88,,,,,,,,,,
February,4.18,1.44,,,,,,,,,,
March,4.62,3.01,,,,,,,,,,
April,4.00,4.55,,,,,,,,,,
May,2.63,3.15,,,,,,,,,,
June,0.90,1.67,,,,,,,,,,
July,1.46,1.13,,,,,,,,,,
August,5.21,5.80,,,,,,,,,,
September,3.04,4.30,,,,,,,,,,
October,1.31,4.71,,,,,,,,,,
November,4.34,4.53,,,,,,,,,,
December,4.07,4.85,,,,,,,,,,
Total,40.21,43.02,,,,,,,,,,
Calc annual,40.21,43.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
