"GLEN LYON (MEGGERNIE CASTLE)",,,,,,,,,,,,
Grid ref,NN552462,Long,-4.359262,Lat,56.585304,,,,,,,
Station no,5557,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.40,5.91,3.36,6.87,4.08,4.70,11.35,8.01,,,,
February,4.43,1.91,3.07,5.74,3.69,3.00,6.46,3.69,,,,
March,3.52,5.28,2.20,4.92,1.61,3.94,5.15,1.68,,,,
April,5.84,3.51,4.17,1.89,2.89,2.91,2.82,2.37,,,,
May,1.71,3.47,4.19,6.21,3.86,4.36,2.12,4.38,,,,
June,2.43,4.25,2.67,2.83,2.24,4.69,2.66,4.24,,,,
July,2.90,2.79,5.28,2.71,1.01,5.54,4.64,4.55,,,,
August,5.94,3.73,3.84,3.74,1.18,6.01,6.26,5.93,,,,
September,4.90,3.55,7.75,8.37,-999.00,6.27,3.57,5.79,,,,
October,1.80,8.65,5.84,9.90,4.62,5.29,5.67,6.58,,,,
November,12.22,3.14,10.59,13.40,3.43,4.06,2.53,1.38,,,,
December,10.44,6.15,10.02,13.59,13.12,11.72,8.85,,,,,
Total,62.53,52.34,62.98,80.17,46.79,62.49,62.08,,,,,
Calc annual,62.53,52.34,62.98,80.17,41.73,62.49,62.08,48.60,0.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,5.06,0.00,-0.00,NaN,NaN,NaN,,
