"GLENLYON (MEGGERNIE CASTLE)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5557,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,1.57,5.57,9.23,8.01,4.65,10.93,9.88,9.73,8.41,5.12,,
February,6.50,1.99,8.64,3.13,9.56,5.65,1.37,7.94,8.78,8.48,,
March,1.65,3.32,5.47,1.75,6.00,2.99,4.32,7.89,2.93,4.69,,
April,2.37,3.20,6.40,3.84,2.55,2.56,15.50,4.71,7.08,5.59,,
May,3.57,5.43,3.16,3.79,5.53,1.86,5.25,2.70,3.83,2.64,,
June,0.72,1.83,5.64,4.58,4.40,5.15,4.15,6.51,1.75,2.87,,
July,3.40,5.60,2.64,2.95,3.41,4.64,5.36,4.06,1.63,6.16,,
August,3.97,6.14,5.56,4.00,1.62,4.43,0.01,7.36,5.07,9.25,,
September,2.31,7.25,4.71,4.76,7.51,8.38,6.25,6.69,1.99,11.12,,
October,6.19,7.70,12.93,7.22,6.32,0.82,3.72,6.61,7.76,8.02,,
November,9.80,1.94,4.16,8.48,0.37,6.82,9.71,4.48,7.00,6.14,,
December,8.25,13.68,3.88,9.27,9.05,7.25,2.53,12.42,14.28,2.95,,
Total,50.30,63.65,72.42,61.78,60.97,61.48,68.05,81.10,70.51,73.03,,
Calc annual,50.30,63.65,72.42,61.78,60.97,61.48,68.05,81.10,70.51,73.03,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
