BOURNEMOUTH-TREGEW,,,,,,,,,,
Grid ref,SZ097912,Long,-1.86348,Lat,50.72063,Elevation,130,ft,,
Station no,RR8518,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,3.17,1.36,2.72,3.45,2.64,3.74,3.6,1.43,
February,,3.96,1.81,5.15,2.67,3.86,0.76,1.14,0.86,
March,,2.9,0.77,1.11,2.09,1.65,3.28,1.17,4.81,
April,,0.63,4.37,0.97,1.8,1.39,2.39,0.88,1.13,
May,,1.01,1.97,2.21,0.84,3.63,4.02,2.08,0.84,
June,,1.59,3.46,2.43,3,2.58,0.41,0.75,3,
July,,1.69,3.07,3.24,2.32,0.27,2.85,0.58,2.33,
August,,5.63,2.6,0.9,2.26,0.84,1.28,2.75,2.26,
September,,1.87,2.65,5.27,1.9,4.11,2.6,2.95,1.9,
October,,1.77,7.78,2.64,1.41,4.21,4.94,1.58,4.41,
November,,5.76,4.3,4.25,0.86,3.89,4.49,3.26,0.86,
December,,3.07,3.51,0.8,3.61,2.01,6.64,2.69,2.61,
Total,,33.05,37.65,31.69,26.21,31.08,37.4,23.43,26.44,
,,,,,,,,,,
Currently Hotel Royale,,,,,,,,,,
1889 Observer died,,,,,,,,,,
