BRISTOL-AIRPORT-WHITCHURCH,,,,,,,,,,,,,,,,,,,,
Grid ref,ST594691,Long,-2.58526,Lat,51.41947,Elevation,209,ft,,,,,,,,,,,,
Station no,1992/6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,4.75,4.74,2.54,3.24,3.69,5.91,1.95,2.01,3.2,2.45,6.96,1.03,
February,,,,,,,,1.16,1.99,1.99,2.85,0.28,1.95,0.85,3.47,3.59,1.48,1.93,1.47,
March,,,,,,,,0.21,1.36,2.68,3.51,2.14,1.21,0.3,1.15,1,6.07,1.83,1.47,
April,,,,,,,,0.17,2.87,2.17,1.14,1.2,1.27,2.65,0.94,2.13,2.95,2.22,2.15,
May,,,,,,,,1.72,1.06,2.63,1.53,4.94,2.91,0.84,3.23,3.95,2.57,4.06,3.73,
June,,,,,,,1.44,1.6,2.29,0.99,1.83,0.66,1.8,2.54,3.41,3.41,1.56,2.62,0.41,
July,,,,,,,4.06,4.05,4.48,5.38,1.99,2.54,2.12,1.89,1.92,1.31,2.61,1.14,1.43,
August,,,,,,,1.34,4.14,2.85,0.16,5.68,4.12,3.62,3.38,2.04,6.24,1.12,4.44,1.91,
September,,,,,,,1.57,2.55,1.17,1.71,0.64,1.83,2.32,3.98,2.2,4.52,1.84,2.29,2.6,
October,,,,,,,3.26,5.75,2.45,3.74,2.09,4.35,2.84,5.5,4.33,0.96,0.42,4.29,7.58,
November,,,,,,,1.81,5.03,7.39,8.27,1.97,1.67,2.52,6.2,0.47,5.56,2.63,1.74,3.48,
December,,,,,,,1.92,3.2,2.38,1.58,2.52,3.6,2.02,2.9,5.17,3.17,3.17,5.51,1.95,
Total,,,,,,,,34.33,35.03,33.84,28.99,31.02,30.49,32.98,30.34,39.04,28.87,39.03,29.21,
,,,,,,,,,,,,,,,,,,,,
Airport covers large area NGR taken from sheet,,,,,,,,,,,,,,,,,,,,
1950 Jan Climat Stn moved to Filton Stn No 2192 7 miles N,,,,,,,,,,,,,,,,,,,,
This is not the site of the current Bristol International Airport,,,,,,,,,,,,,,,,,,,,
MIDAS lists this station as Bristol Whitchurch Met Office,,,,,,,,,,,,,,,,,,,,
