TEMPLE-COMBE-STOWELL-RECTORY-(8-INCH-GAUGE),,,,,,,,,,,,,,,,,,,,
Grid ref,ST686222,Long,-2.44882,Lat,50.99844,Elevation,376,ft,,,,,,,,,,,,
Station no,RR6872,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,1.58,0.9,3.38,2.23,2.42,2.6,3.01,4.11,1.12,2.25,,
February,,,,,,,,,1.25,2.28,0.75,0.05,2.22,3.9,2.96,0.18,0.52,4.82,,
March,,,,,,,,,3.26,2.48,1.66,3.6,0.74,0.69,1.74,2.68,3.85,4.57,,
April,,,,,,,,,2.16,3.92,3.06,0.73,1.18,0.14,2.37,2.63,0.79,2.95,,
May,,,,,,,,,1.42,2.32,1.64,2.72,0.53,1.15,2.13,0.41,0.17,2.3,,
June,,,,,,,,0.92,3.17,0.99,3.77,1.36,1.79,1.63,2.86,1,1.97,,,
July,,,,,,,,0.93,6.68,3.46,3.32,3.36,2.23,3.92,5.64,3.63,1.21,,,
August,,,,,,,,2.04,1.59,3.38,3.12,5.52,4.52,2.04,2.57,4.02,2.03,,,
September,,,,,,,,,1.38,1.87,1.99,2.54,2.7,2.27,2.9,0.67,6.85,,,
October,,,,,,,,,1.67,4.66,1.87,8.57,4.22,3.4,4.23,3.36,2.56,,,
November,,,,,,,,,7.54,1.38,2.55,3.84,2.79,2.28,6.83,6.55,1.1,,,
December,,,,,,,,,3.17,2.31,2.07,4.61,1.75,3.66,3.16,2.69,5.76,,,
Total,,,,,,,,,34.87,29.95,29.18,39.13,27.09,27.68,40.4,31.93,27.93,,,
,,,,,,,,,,,,,,,,,,,,
8in gauge 13ft NW of 5in gauge,,,,,,,,,,,,,,,,,,,,
