READING UNIVERSITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU739719,Long,-0.9379,Lat,51.4414,Elevation,234,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
January,2.465,2.882,3.606,3.606,2.26,0.654,3.307,3.811,0.563,2.26,2.831,2.024,1.488,1.358,1.433,2.047,3.516,1.925,3.772,0.343,4.5,1.169,3.362,2.953,0.543,2.976,3.114,5.067,1.681,0.524,2.984,3.827,0.638,2.917,2.394,2.709,3.063,0.807,0.618,2.685,3.559,2.39,2.567,3.354,1.551,2.15,5.961,2.618,3.839,2.728,2.256,1.22,2.461
February,1.098,1.642,1.878,0.677,2.406,0.465,3.205,1.122,1.118,3.732,1.638,1.85,1.882,0.591,1.362,0.819,1.177,1.413,0.425,1.331,1.252,1.78,4.272,1.177,0.846,0.126,1.992,2.807,2.087,2.783,0.165,0.866,2.421,2.878,2.748,0.898,0.831,0.48,2.067,3.193,0.846,2.059,2.61,1.866,0.508,1.508,4.614,1.76,1.65,1.189,1.043,1.236,3.866
March,0.78,2.224,1.937,2.134,2.425,0.39,1.169,2.689,0.598,2.457,2.26,4.173,2.433,4.386,2.791,1.583,2.618,1.618,1.846,2.35,2.177,2.303,0.421,1.378,1.709,0.827,1.579,1.642,1.417,0.425,1.811,0.811,0.504,3.693,1.685,0.736,1.567,1.634,1.638,1.76,2.827,1.039,1.665,0.472,0.811,3.004,1.012,0.996,2.413,1.386,3.268,1.921,1.937
April,2.169,0.772,1.969,2.11,1.72,2.335,0.496,1.661,0.406,1.315,1.783,2.713,0.728,1.72,1.122,3.783,0.157,1.457,2.083,2.043,1.205,2.496,1,2.319,2.366,3.016,1.559,0.925,1.697,0.476,4.205,1.705,5.22,2.551,1.35,1.386,3.008,2.315,1.114,0.035,2.193,1.106,1.024,0.067,4.717,1.567,3.469,0.579,2.138,0.319,2.472,1.059,1.476
May,2.78,3.122,0.898,1.85,2.098,2.803,0.492,1.894,1.02,1.606,2.606,4.047,1.264,3.13,1.98,2.819,3.098,3.433,2,2.004,1.339,0.437,0.122,0.276,1.587,1.642,2.787,1.126,1.142,1.37,0.602,1.693,2.799,1.236,2.465,1.48,1.929,0.795,3.228,3.969,2.669,1.051,0.697,1.161,0.882,1.972,3.142,1.787,2.547,2.457,1.677,1.11,0.039
June,2.539,0.996,3.331,6.114,1.291,2.035,2.996,0.311,0.689,2.949,1.433,1.114,2.843,1.15,3.102,1.205,1.402,3.909,0.669,3.193,2.287,1.067,1.102,3.004,0.85,1.744,0.937,0.382,0.35,2.614,4.732,2.902,0.835,1.335,1.843,1.969,1.335,0.902,0.437,3.909,1.949,0.85,0.701,3.083,4.85,0.827,2.181,0.972,2.256,1.476,0.256,3.224,2.736
July,3.118,1.854,2.614,0.748,1.012,2.799,1.398,2.504,1.866,0.669,2.783,0.76,2.205,2.622,1.15,1.331,0.752,1.713,1.874,1.768,3.087,0.543,0.374,2.98,2.055,1.736,0.429,0.815,1.894,1.276,1.161,2.083,1.909,1.413,2.913,1.492,1.13,2.587,0.843,4.551,3.016,2.803,1.831,1.618,3.15,1.374,1.39,2.382,0.681,4.823,0.551,1.39,1.26
August,2.598,2.874,2.677,2.496,1.378,2.508,3.244,1.012,0.535,5.193,1.984,1.335,3.461,1.48,1.839,0.685,1.272,2.976,3.335,0.941,2.051,2.307,1.406,0.339,4.319,1.091,1.559,0.13,2.35,3.346,0.925,5.055,1.524,3.378,0.862,0.559,5.366,2.043,1.22,1.594,2.732,1.197,3.831,5,1.331,0.819,3.291,3.059,1.079,2.335,1.634,1.398,3.748
September,5.409,0.579,2.134,0.335,0.906,1.776,5.736,3.882,4.362,0.689,0.894,0.52,3.161,4.228,1.764,1.748,3.598,0.547,1.236,1.299,1.161,1.673,1.496,1.862,4.469,3.374,2.157,3.72,0.579,0.248,3.445,3.681,3.406,2.213,1.055,0.197,0.843,1.902,1.929,1.579,1.724,0.594,1.732,1.528,1.815,1.976,0.331,1.787,2.28,3.012,1.535,2.87,0.764
October,2.287,0.15,0.52,2.24,1.118,1.118,2.48,0.823,4.232,1.776,0.161,2.244,2.957,2.882,5.138,2.169,2.173,1.047,2.402,6.083,3.012,2.524,1.315,1.661,2.272,3.748,2.874,1.181,1.661,2.11,4.539,2.181,6.031,3.898,3.535,1.287,4.453,2.205,5.417,1.382,2.075,1.724,2.098,1.354,5.039,3.654,3.724,2.012,1.055,0.614,2.512,4.236,6.488
November,2,2.65,6.417,2.213,2.39,1.256,5.65,2.146,3.492,1.878,0.807,2.098,1.362,1.461,3.295,1.642,3.457,1.488,2.815,1.965,0.736,1.087,0.972,2.248,4.114,1.311,2.02,3.091,3.728,2.614,2.449,1.358,4.476,1.142,5.575,5.031,1.075,1.217,4.661,2.709,2.882,5.587,1.866,1.697,3.11,2.059,3.76,2.386,3.618,1.89,2.516,3.555,1.701
