"KIRRIEMUIR LINTRATHEN BALNAKEILLY",,,,,,,,,,,,
Grid ref,NO281552,Long,-3.175230,Lat,56.682992,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.00,2.50,1.80,4.30,2.90,1.30,3.20,2.50,2.10,3.60,,
February,3.50,2.00,1.00,4.20,4.00,1.20,1.50,2.40,1.60,0.50,,
March,1.30,1.40,1.10,5.50,2.40,4.50,1.30,1.40,4.40,5.10,,
April,2.20,3.30,2.30,2.00,3.20,2.10,1.20,3.00,0.90,3.30,,
May,3.50,2.00,1.40,1.50,2.80,2.30,4.20,4.00,1.50,3.00,,
June,3.00,1.60,1.30,3.00,1.60,1.30,0.80,4.80,1.90,1.70,,
July,3.20,2.00,2.20,5.30,2.00,1.50,1.10,2.10,2.20,2.70,,
August,3.10,4.20,3.30,5.50,4.60,3.80,4.10,3.90,2.00,1.30,,
September,2.70,2.50,1.70,2.00,2.70,1.30,1.00,1.00,4.60,1.10,,
October,3.60,2.60,2.10,6.50,1.80,1.50,4.50,4.30,5.00,5.40,,
November,4.50,0.90,4.70,1.00,0.90,6.60,3.20,2.10,1.70,0.50,,
December,4.00,2.70,3.70,3.60,2.60,1.80,2.10,3.80,2.30,2.80,,
Total,39.60,27.70,26.60,44.40,31.50,29.20,28.20,35.30,30.20,31.00,,
Calc annual,39.60,27.70,26.60,44.40,31.50,29.20,28.20,35.30,30.20,31.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,,
