DELTING OLNAFIRTH PUBLIC SCHOOL,,,,,,,,,,
Grid ref,HU 40908 64470,Long,-1.260296,Lat,60.362163,Elevation,158,ft,,
Station no,RR8898,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,6.79,2.21,,,,
February,,,,,3.1,3.51,,,,
March,,,,,5.21,3.97,,,,
April,,,,2.77,2,1.65,,,,
May,,,,2.2,3.84,1.79,,,,
June,,,,1.92,1.66,2.76,,,,
July,,,,1.99,2.54,1.67,,,,
August,,,,3.24,2.2,,,,,
September,,,,2.57,2.47,,,,,
October,,,,6.96,3.44,,,,,
November,,,,7.37,5.71,,,,,
December,,,,4.05,6.91,,,,,
Total,,,,,45.87,,,,,
,,,,,,,,,,
BR 1884 P,,,,,,,,,,
,,,,,,,,,,
Station no,RR8898,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
