CRANBORNE-CHASE-RUSHMORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST952184,Long,-2.0697252,Lat,50.965,Elevation,500,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,3.64,3.9,1.59,0.89,4.63,2.54,2.01,2.59,4.03,2.52,1.56,2.85,1.06,4.87,4.53,,,,,,,,,
February,,,,,,,0.98,0.68,0.93,2.04,1,0.22,1.86,5.2,4.17,0.06,0.34,4.31,2.28,4.27,5.74,,,,,,,,,
March,,,,,,,3.09,1.34,3.53,3.15,1.65,2.28,0.86,1.02,2.39,2.6,3.73,5.35,1.04,0.72,1.23,,,,,,,,,
April,,,,,,,2.12,1.46,2.38,3.26,3.67,0.79,0.78,0.12,2.97,3.22,1,3.21,2.18,3.37,1.91,,,,,,,,,
May,,,,,,,4.4,1.35,2.05,1.4,2.61,2.87,0.81,1.21,1.84,0.28,0.23,1.84,5.09,1.8,2.13,,,,,,,,,
June,,,,,,,0.9,1.72,2.55,3.68,3.17,1.59,1.8,1.14,2.82,1.71,1.92,3,1.24,1.52,3.76,,,,,,,,,
July,,,,,,,2.62,0.63,5.65,3.12,3.42,4.1,2.05,4.54,5.57,3.7,0.87,0.98,0.58,0.69,1.47,,,,,,,,,
August,,,,,,,1.36,3.29,1.78,2.98,3.27,7.13,3.67,1.49,2.07,3.28,2.88,5.05,1.76,1.53,2.83,,,,,,,,,
September,,,,,,,2.88,2.57,1.56,1.65,2.78,2.2,3.33,3.38,2.84,1.73,9.78,3.86,1.63,2.78,0.68,,,,,,,,,
October,,,,,,,5.08,1.91,2.14,4.7,1.64,10.63,5.94,4.98,4.29,3.76,3.22,1.75,4.41,2.81,3.68,,,,,,,,,
November,,,,,,,4.21,4.85,7.18,1.74,2.68,5,3.99,2.3,8.38,6.81,0.7,1.6,5.66,5,4.5,,,,,,,,,
December,,,,,,,5.06,2.78,3.18,2.95,1.28,6.13,2.19,4.52,3.62,2.78,6.21,7.08,3.93,2.08,6.69,,,,,,,,,
Total,,,,,,,36.34,26.48,34.52,31.56,31.8,45.48,29.29,32.49,44.99,32.45,32.44,40.88,30.86,31.44,39.15,,,,,,,,,
