MOIDART KINLOCHMOIDART,,,,,,,,,,,,,,,,,,,,
Grid ref,NM716723,Long,-5.740945,Lat,56.786053,Elevation,27,ft,,,,,,,,,,,,
Station no,5718,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,7.8,7.3,5.5,6.1,9.2,7.92,3.12,5.5,1.15,,,,,,,,
February,,,,1.2,8.2,2.5,5,9,2.22,2.62,6.94,3.17,,,,,,,,
March,,,,3.1,6.2,3.9,8.9,4.6,5.86,3.95,3.47,4.9,,,,,,,,
April,,,2.6,2,6,2.7,2,2.47,2.03,2.24,4.19,1.9,,,,,,,,
May,,,3.5,3.4,2.2,4.9,1.3,4.59,2.98,3.1,2.53,3.01,,,,,,,,
June,,,8.2,4.1,2.6,4.9,5.3,7.9,3.29,3.14,3.32,5.55,,,,,,,,
July,,,3.5,5.1,4.6,3.5,6.2,6.6,4.35,8.45,3.78,7.4,,,,,,,,
August,,,5.3,7.2,6.3,7,5.3,5.15,4.62,8.29,2.26,5.9,,,,,,,,
September,,,7.7,4.4,11,4,3.7,5.07,7.93,12.76,4.19,3.03,,,,,,,,
October,,,8.5,9.1,9.9,5.2,6.8,9.5,8.14,8.69,3.41,6.58,,,,,,,,
November,,,6.6,6.6,7,5.2,3.8,13.58,4.33,3.55,8.02,8.27,,,,,,,,
December,,,4,7.3,8,5,4.8,10.5,2.78,6.26,6.59,9.99,,,,,,,,
Total,,,,61.3,79.3,54.3,59.2,88.16,56.45,66.17,54.2,60.85,,,,,,,,
