"MOIDART KINLOCHMOIDART",,,,,,,,,,,,
Grid ref,NM716723,Long,-5.740945,Lat,56.786053,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.85,2.94,3.10,5.51,9.26,6.21,9.11,5.68,7.35,7.57,,
February,3.54,2.62,3.10,9.68,7.36,7.73,5.34,5.61,8.11,4.93,,
March,0.70,3.81,3.65,8.93,9.13,10.22,3.46,5.73,9.26,1.14,,
April,7.70,3.49,2.85,2.85,6.45,3.17,4.93,4.09,2.18,3.64,,
May,4.80,0.48,5.14,3.59,5.98,4.17,4.70,3.83,4.02,4.44,,
June,1.93,3.36,1.90,2.53,4.25,1.59,1.61,5.93,5.55,1.71,,
July,5.03,3.46,4.00,5.74,4.26,6.71,5.80,4.58,4.93,8.49,,
August,5.77,6.51,5.20,10.44,7.31,4.92,6.49,9.77,5.87,6.09,,
September,5.32,5.82,6.69,5.11,6.46,7.48,5.55,3.08,9.65,4.02,,
October,5.39,7.13,5.70,13.70,6.39,9.06,7.71,3.73,2.01,9.31,,
November,3.70,4.14,4.03,8.46,7.20,7.62,7.56,8.04,6.73,6.28,,
December,5.46,4.63,3.85,5.98,6.65,5.33,9.38,6.96,8.93,9.99,,
Total,56.19,48.39,49.21,82.52,80.70,74.21,71.64,67.03,74.59,67.61,,
Calc annual,56.19,48.39,49.21,82.52,80.70,74.21,71.64,67.03,74.59,67.61,,
Difference,-0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
