LIDDINGTON UPPINGHAM WATER WORKS,,,,,,,,,,,,
Grid ref,SP891961,Long,-0.687235,Lat,52.555457,,,,,,,
Station no,RR6357,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,0.49,3.45,0.83,1.05,0.86,,
February,,,,,,0.37,1.30,1.12,1.51,0.27,,
March,,,,,,1.99,1.07,0.87,2.07,2.08,,
April,,,,,,1.43,0.54,2.41,2.41,1.50,,
May,,,,,,0.63,1.31,4.36,1.12,1.23,,
June,,,,,,2.24,2.52,1.46,0.92,1.87,,
July,,,,,,2.11,0.34,2.25,2.56,3.11,,
August,,,,,,1.69,1.14,2.71,2.09,1.87,,
September,,,,,,1.84,1.11,0.57,1.53,2.28,,
October,,,,,,0.96,3.77,3.35,0.86,3.20,,
November,,,,,,2.53,3.48,1.88,0.56,0.44,,
December,,,,,,0.53,2.48,2.70,0.61,3.71,,
Total,,,,,,16.81,22.51,24.51,17.29,22.42,,
Calc annual,0.00,0.00,0.00,0.00,0.00,16.81,22.51,24.51,17.29,22.42,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,,
