SALISBURY-BEMERTON-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU127302,Long,-1.8201151,Lat,51.070991,Elevation,157,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1508/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,2.92,1.69,2.01,2.06,2.1,0.61,4.62,5.43,2.62,4.81,,,,,,,,,,,
February,,,,,,,,,,,0.67,1.65,0.05,4.47,0.07,2.95,2.59,4.35,0.69,1.65,,,,,,,,,,,
March,,,,,,,,,,,1.26,0.63,1.62,2.99,3.26,0.78,2.65,3.93,0.16,1.11,,,,,,,,,,,
April,,,,,,,,,,,2.09,2.43,2.97,1.24,1.75,3.33,1.55,1.61,0.01,2.3,,,,,,,,,,,
May,,,,,,,,,,,1.16,2.23,3.64,1.23,0.63,0.7,1.03,2.46,2.11,0.87,,,,,,,,,,,
June,,,,,,,,,,,0.4,2.32,1.34,2.28,1.49,3.64,2.12,1.38,0.72,2.19,,,,,,,,,,,
July,,,,,,,,,,,1.68,3.34,1.97,2.52,1.08,0.44,4.24,1.39,2.51,5.29,,,,,,,,,,,
August,,,,,,,,,,,2.77,4.09,0.77,0.44,2.2,1.97,0.19,1.08,2.11,3.17,,,,,,,,,,,
September,,,,,,,,,,,2.77,1.25,2.5,2.51,1.68,3.47,3.56,1.97,1.4,1.21,,,,,,,,,,,
October,,,,,,,,,,,1.48,0.4,4.75,2.08,1.46,4.43,1.77,4.9,2.56,4.52,,,,,,,,,,,
November,,,,,,,,,,,4.3,4.29,1.4,0.86,1.82,7.04,2.68,1.41,5.2,6.16,,,,,,,,,,,
December,,,,,,,,,,,3.03,0.68,1.23,1.04,7.7,4.82,2.7,4.13,3.82,1.58,,,,,,,,,,,
Total,,,,,,,,,,,24.53,25,24.25,23.72,25.24,34.18,29.7,34.04,23.91,34.86,,,,,,,,,,,
