"ROCHESTER HOO ST MARY",,,,,,,,,,,,
Grid ref,TQ803766,Long,0.593946,Lat,51.459658,,,,,,,
Station no,RR2304,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.13,0.40,0.42,1.96,2.42,0.74,3.07,0.76,0.76,0.66,,
February,3.56,0.77,1.20,1.15,2.23,0.55,1.74,1.02,0.92,0.76,,
March,0.81,1.91,1.03,1.38,1.30,2.00,0.94,0.75,1.50,2.85,,
April,0.94,1.28,0.28,1.56,0.78,2.04,0.53,2.22,2.29,1.53,,
May,0.79,0.85,2.44,2.40,1.31,1.01,1.76,2.68,1.27,0.89,,
June,2.64,0.43,2.43,5.85,0.81,4.70,1.71,1.92,0.96,2.47,,
July,1.27,1.71,1.50,4.51,2.79,0.36,0.93,1.46,2.49,2.82,,
August,1.52,1.56,2.91,2.85,1.68,1.99,0.42,1.85,2.79,2.21,,
September,0.69,1.16,1.73,1.52,0.87,1.60,1.31,0.41,1.42,2.52,,
October,1.48,1.67,1.28,3.86,1.75,1.14,2.65,2.80,1.12,4.10,,
November,2.51,0.48,1.54,2.10,1.35,2.31,4.23,1.75,0.82,1.19,,
December,1.66,2.62,1.04,1.16,2.21,0.53,1.86,2.30,1.89,2.61,,
Total,20.00,14.84,17.80,30.30,19.50,18.97,21.15,19.92,18.23,24.61,,
Calc annual,20.00,14.84,17.80,30.30,19.50,18.97,21.15,19.92,18.23,24.61,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
