WREXHAM-WW-ERWAU-OLD-GAUGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ262488,Long,-3.1019152,Lat,53.031371,Elevation,1200,ft.,,,,,,,,,,,,
Station no,4292/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,2.94,2.91,5.07,4.25,4.46,6.22,2.82,,3.18,4.82,3.44,3.42,,,,,
February,,,,0.29,3.47,3.05,,1.24,3.37,3.42,,2.59,3.22,1.77,2.67,,,,,
March,,,,2.87,1.05,3.87,3.77,0.76,3.28,2.43,2.87,1.83,0.91,0.81,0.73,,,,,
April,,,,3.46,3.34,2.49,4.66,0.24,2.68,3.29,1.37,1.98,1.67,1.28,1.58,,,,,
May,,,,1.98,1.68,1.22,2.39,2.44,1.36,2.67,3.03,3.41,3.66,1.36,2.27,,,,,
June,,,,1.28,3.49,4.98,1.63,3.04,2.21,1.04,0.57,0.19,2.75,1.42,2.6,,,,,
July,,,,1.82,1.07,4.58,2.17,3.34,6.72,3.56,2.14,2.59,1.82,1.94,2.08,,,,,
August,,,,3.88,1.23,,1.76,3.96,1.94,,3.43,4.33,2.08,1.7,2.04,,,,,
September,,,,1.34,5.38,4.09,1.29,0.97,0.96,3.06,0.68,2.28,4.31,4.51,1.76,,,,,
October,,,,3.82,6.08,1.82,3.83,4.05,3.82,3.89,2.93,2.14,2.82,4.87,5,,,,,
November,,,,2.02,6.49,4.24,2.24,4.27,6.13,7.59,3.59,1.12,4.14,5.54,0.45,,,,,
December,,,,6.09,4.61,4.94,2.98,4.41,2.61,2.03,1.82,4.64,1.72,2.91,3.53,,,,,
Total,,,,31.79,40.8,,,33.18,41.3,,,30.28,33.92,31.55,28.13,,,,,
,,,,,,,,,,,,,,,,,,,,
"MIDAS src_id 11685 ERWAU Start 1944 end 1983, which is probably the New Gauge",,,,,,,,,,,,,,,,,,,,
"NGR is from 1950s record and is close to Erwau. Altitudes match. The NGR is for the New Gauge, which is in a different position to the Old Gauge but no details of how much distance between gauges. NGR could be +/- 200m.",,,,,,,,,,,,,,,,,,,,
