GORTON RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ900961,Long,-2.152082,Lat,53.46155,Elevation,263,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2934/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,1.86,4.14,5.32,3.69,2.25,2.37,2.07,3.38,3.31,4.29,4.55,1.57,0.81,3.3,5.09,5.33,3.32,4.51,2.37,8.44,2.06,2.12,3.74,4.02,1.73,4.02,2.29,5.04,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,1,0.39,4.22,0.19,3.09,0.38,3.35,2.17,5.47,1.26,3.88,2.01,3.51,1.49,2.66,2.07,3.84,5.8,0.7,2.41,2.03,4.19,2.52,1.24,1.99,2.55,1.56,1.22,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,0.95,2.73,0.23,2.12,3.03,2.89,2.1,1.75,1.7,1.17,2.13,3.06,2.99,2.49,0.95,0.69,1.11,0.92,5.48,1.19,1.53,2.27,4.69,2.67,2.43,2.58,2.13,1.41,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,1.35,1.73,3.54,3.06,1.14,1.65,2.89,0.98,2.94,0.33,2.21,2.21,1.43,1.67,1.68,3.12,2.47,1.73,2.89,1.68,3.19,3.43,2.71,3.72,2.29,0.89,2.37,2.82,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,2.6,2.23,2.52,3.9,1.71,2.46,0.8,0.34,2.26,3.38,1.75,1.22,1.59,4.65,2.48,4.1,4.18,1.24,2.37,1.43,4.23,1.6,1.65,1.79,1.88,3.16,3.4,1.03,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,1.44,2.51,5.76,0.6,2.77,2.18,3.36,3.14,1.54,4.36,3.3,1.07,0.96,1.13,3.44,2.65,4.46,3.49,2.33,5.17,1.17,3.31,1.41,2.62,2.99,3.44,2.94,2.23,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,3.94,6.65,3.98,4.2,2.78,2.64,1.42,5.4,2.96,4.63,6.63,5.36,2.22,4.71,2.3,3.64,2.07,4.98,3.98,3.52,1.99,4.33,3.52,3.36,5.06,6.54,1.69,5.61,4.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,4.35,5.28,7.1,1.39,1.5,2.76,1.7,2.69,1.35,2.55,1.32,1.62,5.18,4.37,5.19,3.98,2.97,4.38,0.56,4.3,3.02,4.96,5.13,2.95,4.02,5.46,0.96,10.49,4.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,1.84,2.75,3.66,3.35,0.81,3.03,5.79,4.84,1.55,1.94,0.99,2.99,0.61,2.09,4.19,4.61,2.92,6.36,2.52,2.55,0.75,5.98,2.95,3.39,2.45,4.67,2.38,2.54,6.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,5.06,4.83,1.75,7.32,4.86,5.09,5.74,3.43,1.65,6.68,1.42,3.55,5.29,5.65,3.3,3.66,6.43,0.73,0.63,2.56,3.11,2.66,1.18,3.51,1.97,6.74,2.06,2.32,4.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
