BUCKDEN-STIRTLOE-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,TL196668,Long,-0.248039,Lat,52.286333,Elevation,75,ft,,,,,,,,,,,,
Station no,RR7173,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,0.89,3.09,0.83,0.92,0.7,1.2,1.08,,,,,,,,
February,,,,,,0.67,1.59,0.91,1.06,0.33,1.98,0.81,,,,,,,,
March,,,,,,2.28,1.66,0.84,3,2.95,0.66,1.46,,,,,,,,
April,,,,,,1.52,0.68,2.37,2.22,1.26,2.13,0.88,,,,,,,,
May,,,,,,1.1,1.59,4.21,1.84,1.16,2.67,0.95,,,,,,,,
June,,,,,,3.31,3.46,1.43,0.79,4.19,1.36,1.98,,,,,,,,
July,,,,,,0.64,0.6,2.36,2.95,3.56,1.74,0.25,,,,,,,,
August,,,,,,2.51,0.99,1.73,2.96,1.68,1.66,1.72,,,,,,,,
September,,,,,,1.33,0.92,0.55,2.12,2.3,0.77,1.6,,,,,,,,
October,,,,,,1.22,3.38,3.23,1.29,3.26,1.64,1.82,,,,,,,,
November,,,,,,1.73,3.58,2.22,0.83,0.33,2.84,2.6,,,,,,,,
December,,,,,,0.81,2.35,2.82,1.55,2.96,4.85,3.5,,,,,,,,
Total,,,,,,18.01,23.89,23.5,21.53,24.68,23.5,18.65,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1906 Oct IDR,,,,,,,,,,,,,,,,,,,,
