EWDEN (MORE HALL RESERVOIR) NO 54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK289957,Long,-1.566233,Lat,53.457265,Elevation,408,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3139/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.57,3.31,2.68,3.08,2.31,3.85,5.8,4.31,5.5,3.46,3.76,3.14,4.67,4.61,3.52,4.62,3.54,7.55,1.71,1.66,3.13,4.36,0.72,2.73,2.46,5.88,2.18,3.7,3.91,5.86
February,3.8,0.62,5.45,0.41,4.88,3.56,5.92,1.56,2.18,2.45,4.06,1.11,1.9,1.87,3.6,4.67,3.25,2.67,1.81,6.31,4.39,1.21,1.8,3.17,2.85,1.47,3.18,5.02,0.09,2.86
March,0.19,2.42,3.02,3.8,1.29,2.62,3.64,0.27,2.76,2.62,5.87,2.09,1.19,0.67,0.9,1.75,6.25,1.27,1.13,1.35,4.16,2.28,1.89,2.3,3.47,1.4,2.23,2.26,1.52,2.41
April,4.3,4.41,1.09,3.19,2.56,1.87,2.5,0.18,1.96,3.4,2.52,1.67,2.12,2.58,2.22,1.55,3.57,1.98,3.15,3.76,1.78,1.83,2.5,0.4,0.64,2.66,0.21,0.75,3.96,1.55
May,3.22,6.62,2.02,1.89,0.47,1.51,3.02,2.67,2.12,0.82,2.69,3.77,3.04,3,4.07,2.82,2.57,1.78,1.98,1.88,4.05,2.49,2.67,3.7,3.79,0.7,1.31,3.47,0.76,2.18
June,4.53,0.65,1.54,1.39,4.04,4.26,0.71,1.98,2.17,0.57,0.23,1.18,1.55,1.89,3.73,3.67,2.89,3.66,0.46,0.94,0.92,1.51,2.41,1.99,3.19,3.29,1.97,5.15,1.65,1.42
July,3.59,4.26,1.71,1.65,1.03,2.93,2.79,3.08,6.63,2.6,2.3,2.26,1.11,2.62,1.52,2.9,1.93,1.05,4.24,1.7,2.2,1.66,2.76,1.83,0.87,5.84,3.1,4.92,1.67,3.29
August,6.19,2.09,0.53,1.43,2,1.02,0.51,2.55,2.25,0.38,3.04,3.93,2.93,2.69,2.9,4.69,0.47,4.86,1.99,3.74,4.63,2.34,3.28,5.69,0.41,5.19,4.82,2.41,1.15,3.23
September,4.91,1.91,2.63,2.72,4.71,3.09,1.68,2.44,1.85,1.89,0.33,1.69,3.77,4.57,1.15,5.75,1.21,1.66,1.28,3.82,1.47,3.35,1.5,2.56,0.83,3.47,3.94,3.44,0.04,3.78
October,0.96,4.79,5.2,3.08,5.69,3.7,3.58,6.39,3.97,4.8,4,2.71,2.38,3.3,5.54,1.86,0.74,1.29,3.33,1.34,1.01,5.76,1.85,4.41,2.48,1.88,2.21,2.71,2.56,7.45
November,4.36,2.85,2.25,2.58,6.36,4.32,2.36,4.31,6.37,7.79,3.63,1.43,2.89,6.89,0.51,7.17,3.09,1.11,5.31,5.43,8.66,1.91,2.5,6.85,2.21,0.94,2.49,0.8,4.87,5.06
December,1.37,1.37,0.69,5.03,3.57,3.6,3.76,3.6,2.92,3.16,1.38,2.4,1.52,3.54,2.57,3.44,3.67,3.69,4.99,1.74,4.78,2.55,1.21,4.73,3.96,4.09,3.64,4.39,5.75,4.3
Total,40.99,35.3,28.81,30.25,38.91,36.33,36.27,33.34,40.68,33.94,33.81,27.38,29.07,38.23,32.23,44.89,33.18,32.57,31.38,33.67,41.18,31.25,25.09,40.36,27.16,36.81,31.28,39.02,27.93,43.39
