WAPPENHAM-LOIS-WEEDON-VICARAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP601470,Long,-1.1236731,Lat,52.118061,Elevation,480,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,1.32,3.2,1.3,1.63,1.68,1.82,0.6,3.25,4.1,2.56,4.66,2.48,3.01,3.19,3.89,1.63,1.5,1.7,1.82,3.91,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,0.56,0.85,2.7,0.31,2.53,0.5,2.47,1.98,3.27,0.77,1.03,2.2,2.05,0.85,0.98,1.03,1.75,1.97,1.25,1.21,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,0.12,1.84,0.06,1.98,2.63,1.83,0.42,1.62,3.21,0.23,1.99,2.3,2.76,1.7,0.87,0.27,0.83,1.14,5.71,0.81,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,1.77,2.4,4.26,2.8,1.02,1.8,3.99,1.64,3.51,0.08,2.69,1.99,1.27,0.7,0.8,1.85,0.87,1.74,1.88,1.8,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,1.67,2.42,2.96,5.78,1.62,0.76,1.94,0.82,3.01,2.02,1.16,1.69,2.28,3.23,2.16,1.1,2.02,2.83,1.69,4.58,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,1.22,1.33,1.88,1.3,1.78,2.04,4.55,2.69,1.47,1.33,2.48,0.81,2.19,0.21,1.96,2.73,2.23,2.84,1.21,2.84,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,1.33,3.45,2.68,2.71,1.96,1.87,0.58,4.68,1.5,2.04,2.9,3,3.56,2.31,0.61,2.65,1.94,1.63,2.42,1.33,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,1.46,2.68,3.28,2.53,1.05,1.68,2.35,0.43,0.65,3.23,3.48,0.19,4.68,2.55,2.02,2.34,1.69,3.62,0.3,4.91,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,0.71,3.7,2.49,2.78,1.52,1.73,4.41,3.2,1.98,2.14,0.66,0.9,0.3,1.03,2.25,3.63,1.98,3.82,1.51,2.92,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,2.92,1.59,0.61,3.26,2.01,1.38,3.81,1.93,2.73,3.04,6.6,3.32,2.93,3.19,2.5,3.05,3.24,1.18,0.43,3.9,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,6.06,3.53,2.96,1.85,1.22,1.98,4.46,2.26,1.69,2.73,3.72,6.54,2.67,2.4,1.39,3.42,0.28,5.52,1.42,1.37,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
