PURTON-HARVEST-WATER,,,,,,,,,,
Grid ref,SU0800087200,Long,-1.8859345,Lat,51.583603,Elevation,425,ft,,
Station no,1539/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,0.66,,,4.07,2.52,2.85,3.45,3.68
February,,,1.08,1.33,1.68,0.25,2.42,2.14,0.08,2.14
March,,,0.73,,1.71,0.45,2.44,0.88,2.56,0.86
April,,,2.11,,0.76,1.88,0.25,0.61,1.77,1.04
May,,,1.02,2.38,4.54,0.46,0.98,2.55,1.04,0.8
June,,,1.61,,3.01,2.35,1.53,2.9,2.68,3.44
July,,,2.91,2.01,0.17,1.16,,2.4,0.63,3.14
August,,,3.03,,0.47,3.58,3.79,2.66,5.02,2.24
September,,,3.05,2.12,0.91,2.1,3.13,4.19,0.06,4
October,,,2.92,,,1.75,2.62,2.77,2.38,4.56
November,,3,1.52,,2.26,0.55,1.89,2.58,2.2,4.44
December,,2.5,0.69,2.18,2.6,3.72,1.16,3.55,4.8,4.16
Total,,,21.33,,,22.32,,30.08,26.67,34.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1954 Jan Mar Apr Jun Aug Oct Nov estimated,,,,,,,,,,
1955 Jan Oct estimated,,,,,,,,,,
,,,,,,,,,,
"Harvest Water house name is at No.6 Battlewell, Purton",,,,,,,,,,
