MARKET HARBOROUGH (NORTHAMPTON RD),,,,,,,,,,,,
Grid ref,SP734869,Long,-0.920783,Lat,52.475105,,,,,,,
Station no,2492/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,4.16,1.11,2.80,4.19,4.26,,
February,,,,,,0.41,2.97,3.75,0.04,1.66,,
March,,,,,,0.86,2.01,1.87,2.15,1.91,,
April,,,,,,0.94,0.31,0.91,2.55,0.69,,
May,,,,,,0.70,1.58,1.78,0.57,0.92,,
June,,,,,,3.12,1.76,5.15,1.36,3.04,,
July,,,,,,2.99,2.54,3.94,1.55,3.04,,
August,,,,,,4.95,2.59,2.63,1.36,3.28,,
September,,,,,,2.02,5.26,2.23,0.05,3.82,,
October,,,,,,1.46,1.14,2.15,2.26,6.10,,
November,,,,,,0.73,1.77,1.76,2.15,3.09,,
December,,,,,,3.80,2.41,2.71,4.91,3.25,,
Total,,,,,,26.14,25.45,31.68,23.14,35.06,,
Calc annual,0.00,0.00,0.00,0.00,0.00,26.14,25.45,31.68,23.14,35.06,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,-0.00,0.00,0.00,0.00,,
