PORTSLADE-MIDWAYS,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ262057,Long,-0.20913173,Lat,50.837079,Elevation,30,ft,,,,,,,,,,,,,
Station no,477,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,1.47,3.41,2.49,2.62,2.61,2.54,,,,,,
February,,,,,,,,,,1.91,1.59,2.26,0.22,1.68,0.07,,,,,,
March,,,,,,,,,,0.08,1.71,0.49,1.34,2.89,2.94,,,,,,
April,,,,,,,,,,0.77,1.76,2.67,2.12,1.11,2.45,,,,,,
May,,,,,,,,,,2.05,1.94,2.73,2.8,2.01,0.48,,,,,,
June,,,,,,,,,,2.49,0.77,1.74,1.21,1.85,1.46,,,,,,
July,,,,,,,,,,2.32,2.48,3.22,2.72,1.58,1.43,,,,,,
August,,,,,,,,,,2.81,3.5,2.66,0.77,1.02,2.54,,,,,,
September,,,,,,,,,,0.96,2.6,2.09,2.71,3.56,1.5,,,,,,
October,,,,,,,,,,3.74,2.98,0.33,6.44,1.87,2.32,,,,,,
November,,,,,,,,,,10.99,5.5,4.27,1.5,1.13,4.28,,,,,,
December,,,,,,,,,,5.9,2.92,1.96,0.77,0.75,7.76,,,,,,
Total,,,,,,,,,,35.49,31.16,26.91,25.22,22.06,29.77,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1935 Gauge moved,,,,,,,,,,,,,,,,,,,,,
