PORTSLADE-MIDWAYS (near harbour),,,,,,,,,,
Grid ref,TQ261048,Long,-0.21086048,Lat,50.829012,Elevation,5,ft,,
Station no,477,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,0.69,,,,,
February,,,,,4.29,,,,,
March,,,,,0.47,,,,,
April,,,,,3.44,,,,,
May,,,,,0.82,,,,,
June,,,,,1.81,,,,,
July,,,,,0.49,,,,,
August,,,,,3.74,,,,,
September,,,,,6.06,,,,,
October,,,,,4.54,,,,,
November,,,,,6.23,,,,,
December,,,,,4.92,,,,,
Total,,,,,37.5,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1935 Gauge moved,,,,,,,,,,
