LOCH EIL, CORRAN,,,,,,,,,,,,
Grid ref,NN016635,Long,-5.243934,Lat,56.720875,,,,,,,
Station no,5396,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,10.15,7.10,8.30,8.29,9.10,8.75,11.05,10.70,7.98,11.55,,
February,1.65,1.70,1.10,10.64,6.09,10.06,6.20,7.70,10.89,5.25,,
March,0.65,2.50,8.25,12.32,3.24,10.69,6.30,9.20,7.59,0.65,,
April,6.50,5.34,2.40,3.55,10.57,5.03,3.91,4.43,4.15,4.77,,
May,5.25,0.42,4.80,5.10,8.55,6.83,4.60,6.35,5.31,4.94,,
June,4.55,4.83,1.80,2.98,6.73,4.25,1.58,9.24,7.80,1.18,,
July,6.25,2.89,3.45,7.84,4.59,7.50,9.22,4.60,7.38,6.78,,
August,5.61,6.71,5.50,10.58,9.40,9.63,6.52,12.18,10.28,6.27,,
September,6.96,6.20,5.90,3.18,7.25,11.25,5.15,2.64,12.52,3.21,,
October,7.00,11.05,6.29,14.27,8.20,5.90,6.22,3.43,2.25,10.59,,
November,5.43,7.10,2.51,8.94,8.93,7.70,8.60,8.68,7.70,7.72,,
December,15.20,10.50,8.97,5.31,8.75,8.85,12.45,10.34,10.62,8.22,,
Total,75.20,66.34,59.27,93.00,91.40,96.44,81.80,89.49,94.47,71.13,,
Calc annual,75.20,66.34,59.27,93.00,91.40,96.44,81.80,89.49,94.47,71.13,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,,
