CORRAN LIGHTHOUSE,,,,,,,,,,,,
Grid ref,NN016635,Long,-5.243934,Lat,56.720875,,,,,,,
Station no,5396,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,10.91,8.63,8.44,9.07,5.72,6.71,15.92,7.95,2.58,4.72,,
February,5.80,5.34,8.42,5.11,3.10,3.76,4.41,4.01,6.44,5.81,,
March,5.02,7.89,3.16,5.84,0.63,4.61,9.10,2.77,5.75,1.83,,
April,7.11,4.58,5.18,3.80,3.60,2.92,4.07,5.75,5.73,7.43,,
May,0.68,3.19,5.78,3.53,3.37,6.58,2.52,6.40,2.47,3.07,,
June,3.51,6.06,0.88,7.55,5.42,3.77,4.40,2.77,5.35,4.69,,
July,7.73,5.20,9.73,4.93,1.21,6.77,6.98,2.77,8.97,5.48,,
August,7.69,6.91,7.29,7.49,1.99,5.14,7.26,5.88,5.99,6.23,,
September,7.30,7.53,11.79,9.96,10.44,6.34,4.66,6.71,5.38,4.78,,
October,4.72,9.53,5.53,14.35,8.30,7.77,12.69,10.72,9.33,1.27,,
November,9.74,4.08,17.04,9.98,3.05,8.95,3.30,3.45,10.12,7.14,,
December,16.04,10.83,9.55,17.03,11.11,13.48,12.47,6.56,11.92,10.04,,
Total,86.25,79.77,92.79,98.64,57.94,76.80,87.78,65.74,80.03,62.49,,
Calc annual,86.25,79.77,92.79,98.64,57.94,76.80,87.78,65.74,80.03,62.49,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
