CORRAN LIGHTHOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN016635,Long,-5.243934,Lat,56.720875,Elevation,13,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,6,7.65,13.45,6.3,11.6,15.75,6.1,15,8.9,4.65,6.65,11.8,13.6,12.33,4.95,10.82,9.99,10.87,3.05,9.25,1.75,12.3,9.21,14.59,3.95,8.63,10.94,8.74,11.26,18.4,9.2,13.85,6.15,12.25,2.4,9.07,2.05,13.15,6.65,10.15,7.1,8.3,8.29,9.1,8.75,11.05,10.7,7.98,11.55,11.17,7.44,6.54,6.08,12.23,11.44,16.23,5,11.73,6.13,15.55,19.06,8.47,12.1,9.43,8.96,12.05,13.6,18.42,2.45,17.15,10.55,17.78,11.04,14.41,7.54,3.11,11.56,16.16,4.98,1.12,0.38,7.48,8.69,11.84,6.48,12.47,7.03,7.51,13.25,8.88,10.91,8.63,8.44,9.07,5.72,6.71,15.92,7.95,2.58,4.72,,
February,,7.05,2.6,9.05,6.3,5.8,12.15,11.3,21.5,9.98,4.3,9.4,8.15,0.6,3.2,1.45,7.82,12.74,5.55,2.6,9.25,5.55,9.09,10.56,5.93,9.34,4.27,10.13,3.5,7.48,1.8,6.2,4.1,9.28,13.7,0.35,8.1,8.45,11.75,4.1,1.65,1.7,1.1,10.64,6.09,10.06,6.2,7.7,10.89,5.25,10.49,13.71,4.73,7.47,9.65,7.93,9.68,1.69,13.16,0.77,20.34,4.58,7.61,7.47,3.13,7.62,7.14,5.77,11.46,2.74,0.68,9.74,0.08,7.18,3.19,15.14,2.93,7.33,11.85,14.09,3.48,4.72,3.55,11.58,4.23,14.17,6.64,0.05,7.03,12.84,10.97,5.8,5.34,8.42,5.11,3.1,3.76,4.41,4.01,6.44,5.81,,
March,,9.37,2.25,4.35,5.55,5.8,4.75,1.6,11.53,2.2,2.75,7.95,2.35,3.2,10.35,2.2,11.73,5.52,8.13,6.3,6.53,8.28,13.8,2.97,3.15,3.59,5.52,4.64,5.55,8.45,13.3,6.95,2.75,5.15,9.6,7.4,11.4,8.8,7.85,6.65,0.65,2.5,8.25,12.32,3.24,10.69,6.3,9.2,7.59,0.65,4.49,4.31,8.24,12.17,6.19,8.26,2.65,4.79,2.94,4.17,12.53,15.34,4.68,1.77,0.66,4.98,10.34,5.51,6.17,1.92,5.58,1.11,4.92,5.05,4.8,6.11,3.86,1.09,19.15,6.31,6.69,2.42,2.66,6.27,4.19,9,5.62,3.79,9.07,6.1,6.7,5.02,7.89,3.16,5.84,0.63,4.61,9.1,2.77,5.75,1.83,,
April,,0.25,4.35,9.4,5.55,4.3,3.31,11.5,3.83,3.8,6.1,1.85,3.95,0.95,5.1,3.1,1.7,2.42,1.77,1.5,5.12,1.85,4.88,3.24,1.32,4.89,6,3.85,4.72,2.85,3.1,0.8,2.35,4.8,1.4,4.64,4.75,3.6,6.55,4.4,6.5,5.34,2.4,3.55,10.57,5.03,3.91,4.43,4.15,4.77,7.24,8.48,8,5.59,7.79,8.1,5.31,3.91,1.24,11.48,3.24,2.39,1.99,3.44,3.92,8.14,4.51,11.18,4.45,3.33,2.57,4.02,5.61,6.95,5.66,3.04,2.23,3.41,1.79,2.68,3.18,3.56,2.52,9.91,5.92,2.31,5.14,10.45,5.53,13.12,8.28,7.11,4.58,5.18,3.8,3.6,2.92,4.07,5.75,5.73,7.43,,
May,,1.65,4.45,5.2,3.7,5,2.65,1.2,6.5,0.2,5.41,1.65,3.65,2.7,2.2,4.2,1.88,4.98,4.64,3.75,3.39,4.07,4.75,3.45,4.47,2.42,4.12,1.29,7.45,2.45,2.6,3.85,6.75,4.1,4.7,1.85,1.3,4.7,4.05,1.55,5.25,0.42,4.8,5.1,8.55,6.83,4.6,6.35,5.31,4.94,4.83,5.31,3.72,4.91,3.77,0.99,5.59,2.93,3.7,2.11,6.94,6.15,11.55,4.51,4.18,10.2,3.74,3.92,1.04,5.14,4.51,5.63,3.55,3.04,6.05,0.96,3.02,3.45,5.21,1.53,2.93,1.82,3.23,4.48,7.71,5.48,1.24,4.08,1.74,4.44,2.6,0.68,3.19,5.78,3.53,3.37,6.58,2.52,6.4,2.47,3.07,,
June,,2.5,2.25,8.5,10.4,0.95,2.5,4.45,5.75,3.35,5.65,1.05,7.3,5.5,2.3,2.27,5.51,10.4,3.36,3.63,4.3,5.67,5.23,2.5,2.47,3.52,3.25,4.9,4,1.1,8.76,2.35,3.2,2,4.4,1.4,5.5,3.95,5.3,1.45,4.55,4.83,1.8,2.98,6.73,4.25,1.58,9.24,7.8,1.18,2.02,4.04,7.21,6.21,3.86,1.75,2.12,4.52,5.29,10.32,4.78,2.05,4.94,4.6,5.23,2.69,3.01,6.13,5.95,5.24,6.58,8.41,1.72,4.19,3.06,5.41,3.55,6.4,10.02,4.26,2.06,2.2,4.44,6.73,5.88,6.1,6.24,7.17,6.14,3.23,8.33,3.51,6.06,0.88,7.55,5.42,3.77,4.4,2.77,5.35,4.69,,
July,,3.5,4.9,0.8,6.85,6.6,4.05,4.2,2.4,4.8,5.8,5.95,4.05,9.4,3.25,2.64,6.51,6.86,3.28,8.34,3.72,12.82,6.55,2.7,5.57,4.26,5.55,6.98,4.35,1.35,7.7,4.8,5.5,5.6,6.15,3.58,4.8,8.6,3.55,4.3,6.25,2.89,3.45,7.84,4.59,7.5,9.22,4.6,7.38,6.78,4.64,7.06,4.29,1.05,2.44,5.87,3.83,3.4,6.51,1.77,6.08,6.23,5.09,10.63,9.49,4.02,5.44,4.02,6.11,7.16,2.51,5.99,9.96,6.99,7.01,5.48,6.76,8.1,8.66,8.35,5.91,7.52,7.18,5.22,2.51,4.46,7.77,5.72,7.48,3.41,10.52,7.73,5.2,9.73,4.93,1.21,6.77,6.98,2.77,8.97,5.48,,
August,,10.25,2.7,9.1,5.05,6.25,6.45,6.1,10.5,1.7,2.5,7.7,7.8,7.1,3.57,12.61,5.73,5.05,4.87,6.67,3.07,6.07,5.51,6.2,4.1,3.65,4.76,3.58,9.25,9.2,7.3,8.2,8.75,7.28,9.05,10.27,8.05,4.85,9.8,1.1,5.61,6.71,5.5,10.58,9.4,9.63,6.52,12.18,10.28,6.27,8.58,8.52,3.4,3.81,7.85,3.48,5.49,8.86,8.21,7.98,5.81,6.85,7.23,7.74,6.24,5.34,9.57,6.12,6.46,9.56,9.01,2.38,8.37,9.6,7.98,8,6.3,3.55,5.15,3.73,5.92,9.4,9.03,8.58,4.75,4.25,6.75,0,8.21,12.25,8.17,7.69,6.91,7.29,7.49,1.99,5.14,7.26,5.88,5.99,6.23,,
September,,5.9,1.7,9.15,15.3,5.75,10,7.55,1.8,12.15,8.85,2.25,9.25,6.45,7.1,3.9,3.56,4.93,10.75,13.42,6.48,3.55,5.62,2.61,5,11.49,7.72,4.03,3.1,4.1,9.2,14.5,13.35,6.25,0.45,5.95,6.7,9.75,11.5,9.85,6.96,6.2,5.9,3.18,7.25,11.25,5.15,2.64,12.52,3.21,3.66,6.73,5.51,2.77,6.91,2.6,3.8,10.41,8.42,9.38,4.95,6.21,3.49,12.74,10.47,4.7,8.25,7.09,6.4,7.45,4.72,2.84,8.61,1.83,9.7,11.37,3.53,8.7,6.8,3.97,6.96,3.44,12.92,6.86,6.39,7.76,9.58,9.02,15.34,4.82,16.31,7.3,7.53,11.79,9.96,10.44,6.34,4.66,6.71,5.38,4.78,,
October,,3.5,9.3,6.55,5.5,2.3,6.3,12.55,9.05,4.6,8.4,5,8.15,8.5,8.8,5.6,8.95,13.74,8.96,5.8,2.01,5.2,4.47,6.6,9.39,7.16,6.2,5.69,7.52,3.85,17.4,10.45,6.15,12.8,2.5,6.35,5.8,5.7,3.5,6.85,7,11.05,6.29,14.27,8.2,5.9,6.22,3.43,2.25,10.59,3.02,4.52,8.82,6.87,3.03,2.72,17.3,13.51,12.59,3.84,3.44,10.36,3.76,16.84,5.08,6.33,7.47,8.68,11.21,14.85,14.03,8.54,11.17,8.44,14.51,14.09,11.22,3.69,13.82,1.85,7.49,7.25,13.2,14.55,7.17,5.41,0.43,5.28,11.33,13.73,10.53,4.72,9.53,5.53,14.35,8.3,7.77,12.69,10.72,9.33,1.27,,
