THELWALL-THE-CLOUGH-MAIN-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ654868,Long,-2.52156,Lat,53.376913,Elevation,95,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,2737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,1.71,4.32,1.95,1.98,2.01,3.09,3.53,4.11,3.75,2.29,2.86,2.12,3.19,3.57,7.32,2.04,4.53,4.28,3.06,1.67,2.08,1.82,3.93,3.08,3.68,,
February,,,,,1.58,2.92,3.51,1.1,3.22,0.87,2.65,0.33,3.32,4.46,0.97,4.75,2.94,1.51,3.45,1.14,0.22,2.59,0.08,2.91,0.35,3,2,4.94,1.15,,
March,,,,,2.94,1.6,1.65,1.84,1.49,5.68,3.22,2.27,2.12,1.7,1.13,1.05,1.22,3.16,1.88,0.83,2.98,0.56,1.99,2.43,1.99,1.05,1.48,1.64,0.96,,
April,,,,,1.31,1.27,2.75,1.45,1.18,1.44,4.31,1.19,2.4,2.93,1.93,1.36,0.93,2.36,0.82,0.68,2.02,2.58,2.77,1.17,1.95,2.57,1.35,2.78,0.35,,
May,,,,,1.85,1.69,2.35,2.73,2.8,1.25,4.02,1.78,1.27,2.87,5.53,3.62,3.59,1.45,1.15,2.19,1.03,2.85,4.82,1.31,1.95,1.06,0.72,2.17,3.86,,
June,,,,,2.25,1.43,2.91,1.84,1.65,1.64,3.62,0.39,2,0.65,2.09,0.12,1.8,4.32,4.68,1.37,1.89,3.34,0.44,2.63,1.95,4.06,3.33,1.45,3.09,,
July,,,,,4.5,4.01,2.17,1.38,3.72,1.53,6.3,1.11,3.99,2.77,4.87,3.27,4.19,2.31,2.06,3.33,5.31,2.95,3.16,1.54,2.27,1.13,2.95,1.9,4.78,,
August,,,,,2.28,4.09,2.41,6.42,2.65,3.61,2.26,4.39,3.37,4.13,6.74,3.67,3.5,4.8,3.69,3.02,4.63,7.62,1.24,1.57,3.24,1.51,1.7,2.64,2.65,,
September,,,,,2.41,0.51,2.86,1.86,8.04,2.04,2.67,0.95,3.05,3.9,3.93,4.32,3.02,5.97,1.26,1.82,2.51,2.97,3.09,0.76,2.72,5.31,4.61,1.08,1.75,,
October,,,,,1.63,1.51,4.05,5.42,2.5,2.29,1.07,2.3,0.21,4.14,3.82,4.08,4.45,2.55,4.07,5.73,4.59,1.61,6.73,4,4.65,4.35,3.04,2.17,5.56,,
November,,,,,3.47,2.16,2.42,3.45,1.66,2.21,0.95,2.13,1.98,3.9,1.38,2.85,5.36,3.12,4.64,6.16,4.02,5.51,2.51,1.17,1.7,4.6,3.31,1.93,4.28,,
December,,,,,5.05,5.14,2.57,1.59,6.05,5.59,2.47,4.13,4.6,4.71,3.49,2.41,1.03,1.68,2.02,5.41,3.89,1.35,1.13,0.46,4.79,3.07,3.46,1.63,4,,
Total,,,,,30.98,30.65,31.6,31.06,36.97,31.24,37.07,25.08,32.06,38.45,38.74,33.62,35.22,36.8,37.04,33.72,37.62,38.21,31.02,21.62,29.64,33.53,31.88,27.41,36.11,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is The Clough. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
