THELWALL LEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ654869,Long,-2.521571,Lat,53.377812,Elevation,90,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,2737/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,
January,,,1.22,1.83,1.82,3.05,2.76,3.3,4.73,3.38,2.37,4.34,4.4,,,,,,,,,,,,,,,,,,
February,,,,0.31,2.59,2.43,5.05,0.97,3.17,2.19,3.56,1.42,2.1,,,,,,,,,,,,,,,,,,
March,,,2.1,1.81,0.92,1.36,1.42,0.96,1.81,2.78,2.46,2.61,1.04,,,,,,,,,,,,,,,,,,
April,,,1.06,1.67,2.32,1.09,2.46,0.34,1.84,1.99,1.17,1.82,1.15,,,,,,,,,,,,,,,,,,
May,,,1.35,1.72,0.97,0.63,2.02,3.61,1.42,1.32,1.77,3.95,2.53,,,,,,,,,,,,,,,,,,
June,,,2.32,1.81,3.7,3.12,1.34,2.75,2.76,1.09,0.52,0.4,2.46,,,,,,,,,,,,,,,,,,
July,,,1.45,2.07,1,2.73,1.72,4.44,7.19,2.85,3.18,3.72,1.86,,,,,,,,,,,,,,,,,,
August,,,1.55,2.88,1.3,1.63,2.46,2.41,1.6,1.12,4.6,2.95,4.97,,,,,,,,,,,,,,,,,,
September,,,0.64,2.27,4.54,4.4,0.94,1.51,0.81,3.13,0.66,1.9,4.35,,,,,,,,,,,,,,,,,,
October,,,3.98,4.24,3.74,2.56,2.34,5.05,2.27,3.47,3.77,4.13,3.16,,,,,,,,,,,,,,,,,,
November,,,0.97,1.53,4.06,3.09,1.85,3.93,4.86,6.48,2.71,0.63,2.25,,,,,,,,,,,,,,,,,,
December,,,0.46,4.7,3.06,3.09,1.44,3.34,2.7,3.18,0.9,3.89,1.3,,,,,,,,,,,,,,,,,,
Total,,,,26.84,30.02,29.18,25.8,32.61,35.16,32.98,27.67,31.76,31.57,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1940s record and is Thelwall Lea. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
