THELWALL-THE-CLOUGH-OLD,,,,,,,,,,
Grid ref,SJ653868,Long,-2.5230631,Lat,53.376907,Elevation,95,ft.,,
Station no,RR4025,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,3.6,1.7,4.39,1.95,2,1.95,3.09
February,,,,1.02,1.58,2.92,3.53,1.12,3.27,0.87
March,,,,3.17,2.92,1.64,1.68,1.86,1.44,5.69
April,,,,3.88,1.3,1.27,2.78,1.47,1.21,1.43
May,,,,2.25,1.86,1.7,2.31,2.73,2.79,1.25
June,,,,1.95,2.25,1.46,2.98,1.82,1.62,1.68
July,,,,1.04,4.49,3.98,2.2,1.41,3.71,1.56
August,,,,2.02,2.24,4.18,2.42,6.37,2.64,3.65
September,,,,1.38,2.38,0.49,2.84,1.9,8.07,2.05
October,,,,2.94,1.59,1.53,4.18,5.39,2.54,2.38
November,,,,2.48,3.44,2.17,2.45,3.42,1.65,2.29
December,,,,2.22,5.27,5.15,2.57,1.53,6.02,5.74
Total,,,,27.95,31.02,30.88,31.89,31.02,36.91,31.68
,,,,,,,,,,
"NGR is from the record and is W of Massey Hall, slighlty more than the 300 yards quoted in the record but is The Clough, as mentioned on the record. Altitudes match",,,,,,,,,,
