TORQUAY-LAMORNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX913647,Long,-3.5318,Lat,50.4721,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,2.76,5.98,6.58,6,4.95,5.9,2.36,3.48,7.58,6.54,3.8,6.01,1.17,7.76,1.92,6.21,1.04,2.41,1.9,3.99,5.14,2.72,6.03,3.13,1.07,
February,,,,,2.37,4.44,4.67,3.06,1.96,3.89,3.33,2.45,4.75,3.96,4.49,1.95,4.42,1.63,2.38,5.89,4.71,4.17,2.33,4.97,5.28,4.17,1.36,0.63,0.52,
March,,,,,3.2,2.06,3.29,6.99,2.23,2.08,3.69,1.81,3.63,4.8,0.55,1.59,4.16,2.61,1.88,0.5,2.86,4.17,1.23,1.43,2.75,0.91,3.98,1.48,4.74,
April,,,,,1.23,0.8,2.39,2.9,2.78,0.83,0.45,4.8,2.26,0.58,2.45,1.4,3.14,5.72,4.67,4.11,1.84,0.79,6.37,0.73,2.22,3.17,2.35,1.25,1.58,
May,,,,,1.61,4.14,2.43,5.42,1.72,6.52,1.71,0.34,2.22,1.27,1.05,2.8,0.61,3.07,4.3,2.36,0.9,0.85,1.75,2.35,1.56,3.5,4.13,1.91,2.32,
June,,,,,1.35,3.06,0.95,0.88,0.33,0.58,0.18,2.18,3.21,0.84,2.16,3.22,1.25,1.25,2.7,7.18,2.44,3.14,3.6,2.97,1.53,1.08,0.97,0.08,2.25,
July,,,,,0.49,2.21,1.54,5.45,0.28,0.39,0.93,4.28,4.12,2.34,0.85,4.15,0.61,2.39,1.62,3.51,2.45,1.45,3.43,4.26,2.81,0.14,2.93,1.26,5.84,
August,,,,,0.83,4.49,2.11,1.74,3.87,0.33,0.95,1.11,1.29,3.87,2.17,2.27,3.28,3.77,5.18,5.73,0.32,4.79,2.1,0.81,0.76,2.99,1.63,1.7,3.07,
September,,,,,1.99,0,8.89,2.8,5.52,4.92,1.27,7.1,2.96,2.13,6.47,4.68,6.02,2.25,1.7,3.44,3.4,2.02,4.35,4.66,1.92,3.1,2.09,2.37,0.63,
October,,,,,1.68,8.62,3.24,3.13,2.41,2.58,4.02,4.48,5.72,2.33,5.99,9.31,4.01,2.59,3.3,0.87,7.81,3.67,6.66,2.78,0.98,5.68,5.3,3.1,1.66,
November,,,,,3.78,5.58,1.63,1.39,4.24,1.79,2.87,1.31,5,4.1,3.65,5.42,5.71,7.45,3.08,0.19,3.71,5.83,3.83,4.42,1.48,4.13,2.76,3.55,8.19,
December,,,,,3.53,4.49,2.97,2.35,8.9,6.02,3.24,3.38,5.87,0.68,5.01,1.58,10.11,1.76,3.14,1.55,4.4,3.38,3.63,0.74,4.17,1.86,7.01,3,2.85,
Total,,,,,24.82,45.87,40.69,42.11,39.19,35.83,25,36.72,48.61,33.44,38.64,44.38,44.49,42.25,35.87,41.54,35.88,36.67,41.18,34.11,30.6,33.45,40.54,23.46,34.72,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"House in Furzehill Road, near The Hove according to Ancestry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hove found on 1861 Torquay map NLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
