CREWE-WESTON-LANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ711548,Long,-2.4329688,Lat,53.089623,Elevation,186,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,2765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,2.75,2.7,1.65,3.21,1.55,2.71,1.72,2.13,3.34,2.98,5.18,2.08,2.35,2.25,2.18,2.46,5,1.44,4.13,2.23,2.24,1.49,2.46,1.48,2.61,,,,
February,,,0.39,1.09,1.39,2.94,3.49,1.62,1.94,1.12,3.74,0.31,2.37,4.59,0.8,4.06,2.81,1.38,2.23,0.67,0.14,2.87,0.03,3.12,0.46,2.86,1.16,,,,
March,,,3.75,3.62,3.33,1.24,2.08,1.68,0.74,4.77,2.73,1.33,2.32,1.16,0.89,0.94,0.76,2.97,1.33,0.48,2.67,0.17,1.05,2.19,1.66,0.7,1.89,,,,
April,,,0.31,3.51,1.19,0.85,2.04,1.61,1.69,1.39,3.94,1.27,2.09,2.46,1.88,1.16,1.44,2.26,1.14,0.72,2.86,3.21,3.04,0.67,1.74,2.53,1.22,,,,
May,,,2.08,2,1.59,1.91,1.94,2.4,3.38,0.93,4.02,1.56,0.58,2.65,4.11,4.46,3.26,1.48,0.83,2,2.18,3.27,5.84,1.69,1.39,1.11,0.88,,,,
June,,,4.35,1.63,1.57,1.46,1.89,2.12,1.48,1.46,3.58,0.35,0.91,0.51,1.45,0,1.6,4.88,4.41,1.74,1.64,4.61,0.35,2.35,0.99,4.15,3.52,,,,
July,,,2.62,1,4.22,5.05,1.41,1.49,3.92,2.06,5.19,0.57,3.81,1.52,4.46,2.54,4.18,2.61,1.96,2.26,7.1,2.92,2.6,1.41,1.06,0.98,3,,,,
August,,,5.05,2.36,4.04,2.34,2.88,4.84,2.11,2.64,1.41,5.01,3.96,1.98,4.34,2.53,3.21,4.79,3.26,3.27,2.87,5.38,1.69,1.02,2.42,1.72,1.42,,,,
September,,,1.54,1.38,1.83,0.48,2.14,1.41,5.51,2.77,2.69,0.72,3.37,2.81,4.68,3.48,2.49,3.68,1.22,1.88,3.31,3.37,1.91,0.88,1.52,4.95,3.51,,,,
October,,,2.42,1.88,1.33,1.22,2.68,5.19,1.61,3.24,1.86,2.76,0.79,2.84,3.88,3.37,2.57,2.16,3.64,5.12,3.71,0.97,4.43,3.99,3.46,4.77,1.3,,,,
November,,,2.81,1.88,2.92,2.53,2.29,2.4,1.71,1.9,0.5,1.72,1.23,1.59,1.4,1.62,5.41,2.77,4.32,6.24,2.78,4.91,2.06,1.16,2.14,3.75,2.77,,,,
December,,,2.08,1.48,5.61,4.37,2.28,1.42,4.68,4.7,2.14,2.5,5.72,4.46,2.84,2.16,0.59,1.01,2.15,4.46,2.69,1.6,0.74,0.26,4.43,3.46,3.5,,,,
Total,,,30.15,24.53,30.67,27.6,26.67,28.89,30.49,29.11,35.14,21.08,32.33,28.65,33.08,28.57,30.5,32.45,31.49,30.28,36.08,35.51,25.98,20.23,23.73,32.46,26.78,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is beside Crewe Station near Weston Road (not Lane) altitudes match. Record states gauge is on railway station site, which matches.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
