BURFORD-WESTHALL-HILL,,,,,,,,,,,,,,,,,,,,
Grid ref,SP251128,Long,-1.6373068,Lat,51.813273,Elevation,400,ft,,,,,,,,,,,,
Station no,1036/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,1.95,0.57,2.86,3.82,3.3,5.99,2.78,3.08,2.78,4.67,,1.82,2.13,1.69,,,
February,,,,0.31,2.29,1.98,4.38,1.14,1.42,2.44,3.15,0.78,1.11,,2.18,2.59,1.47,,,
March,,,,2.14,0.4,2.12,3.05,0.17,1.99,2.82,2.7,2.1,1.2,,0.98,0.95,6.26,,,
April,,,,2.56,4.1,1.54,3.39,0.06,3.99,1.65,1.27,1.27,0.79,,1.28,1.81,2.14,,,
May,,,,0.68,0.83,0.9,2.55,1.67,1.06,1.71,1.73,4.18,2.73,,2.42,3.3,1.89,,,
June,,,,1.29,4.26,3.25,1.59,1.39,2.27,1.33,3.22,0.2,1.59,,3.36,2.22,1.43,,,
July,,,,0.72,0.64,4.76,1.44,1.62,6.08,2.98,2.63,2.32,0.82,,1.77,1.1,,,,
August,,,0.64,2.01,1.8,0.51,0.28,3.35,2.08,0.1,4.32,4.78,2.37,,2.51,5.14,,,,
September,,,2.54,2.69,4.27,4.81,1.71,2.61,1.13,0.9,0.99,1.79,1.63,,1.62,4.04,,,,
October,,,2.57,1.58,5.19,1.16,3.7,3.51,5.06,3.08,1.84,3.82,2.86,,2.85,0.85,,,,
November,,,0.8,1.8,5.23,2.37,1.75,2.95,4.99,7.58,2.73,2.24,1.69,,0.43,5.86,,,,
December,,,0.38,5.83,3.56,2.37,1.91,2.93,2.04,1.78,1.88,3.56,1.08,,3.72,2.41,,,,
Total,,,,23.56,33.14,28.63,29.57,24.7,38.1,29.15,29.54,29.82,22.54,,24.94,32.4,,,,
