SLAIDBURN-TENTERS,,,,,,,,,,
Grid ref,SD757588,Long,-2.3724114,Lat,54.024619,Elevation,1075,ft.,,
Station no,3087/9,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,4.51,7.34
February,,,,,,,,,1.45,6.07
March,,,,,,,,,3.07,1.85
April,,,,,,,,,3.97,4.55
May,,,,,,,,,0.95,1.95
June,,,,,,,,,3.75,2.46
July,,,,,,,,,4.03,8.58
August,,,,,,,,,0.64,4.28
September,,,,,,,,,0.56,3.68
October,,,,,,,,,6.95,3.86
November,,,,,,,,,6.65,10.35
December,,,,,,,,,11.45,7.46
Total,,,,,,,,,47.98,62.43
,,,,,,,,,,
NGR is from 1950s record and is near a location called Tenters. Altitudes match.,,,,,,,,,,
MIDAS src_id 12336 ends 1982 but starts 1960!,,,,,,,,,,
