"SELLY OAK, WITHERFORD WAY",,,,,,,,,,,,,,,,,,,,,
Grid ref,SP034815,Long,-1.9514198,Lat,52.431469,Elevation,490,ft,,,,,,,,,,,,,
Station no,2475,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,5.02,1.54,5.12,2.24,2.2,2.24,3.66,0.96,3.55,3.27,,6.48,
February,,,,,,,,,2.3,0.71,0.84,2.83,0.38,3.61,0.35,2.6,2.84,4.21,,1.44,
March,,,,,,,,,2.66,0.19,3.07,0.24,1.87,3.32,2.26,0.61,1.89,2.79,,1.73,
April,,,,,,,,,1.85,0.68,2.35,3.92,3.77,0.88,2.37,3.98,1.76,3.11,,1.99,
May,,,,,,,,,0.54,2.16,2.12,4.54,6.28,1.73,0.98,1.38,1.13,2.43,,1.11,
June,,,,,,,,,2.89,2.16,1.62,4.49,1.6,2.31,1.15,2.84,3.17,0.73,,,
July,,,,,,,,,1.32,1.84,4.71,3.93,2.89,2.18,1.5,0.5,6.17,2.69,,,
August,,,,,,,,,1.97,2.31,3.5,5.25,1.97,1.01,1.96,1.69,0.49,1.12,,,
September,,,,,,,,,0.56,0.97,4.57,2.57,3.32,0.83,2.72,3.89,3.5,1.98,,,
October,,,,,,,,,5.02,3.84,3.03,0.95,3.98,4.48,1.74,3.8,1.79,2.68,,3.8,
November,,,,,,,,,3.9,8.26,3.38,4.3,1.86,1.07,2.41,6.04,2.86,1.59,,4.66,
December,,,,,,,,,2.11,5.85,3.42,1,1.14,0.51,5.23,3.99,3.03,2.75,,2.02,
Total,,,,,,,,,30.14,30.51,37.73,36.26,31.26,24.17,26.33,32.28,32.18,29.35,,,
,,,,,,,,,,,,,,,,,,,,,
"1939 June, july, Aug, Sept and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,
