SELLY OAK (WEOLEY HILL),,,,,,,,,,,,,,,,,,,,
Grid ref,SP033818,Long,-1.9528878,Lat,52.434167,Elevation,530,ft,,,,,,,,,,,,
Station no,2474/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,3.79,4.5,4.29,5.01,2.73,2.36,2.33,,,,
February,,,,,,,,,,2.83,3.09,1.07,1.81,1.77,2.5,2.06,,,,
March,,,,,,,,,,1.92,2.78,2.22,1.34,0.43,1.02,1,,,,
April,,,,,,,,,,3.74,1.55,1.57,0.72,1.78,0.92,2.98,,,,
May,,,,,,,,,,2.57,3.14,3.89,3.92,0.93,2.54,2.75,,,,
June,,,,,,,,,,0.87,1.47,0.08,1.74,1.55,3.15,2.86,,,,
July,,,,,,,,,,2.8,4.13,1.9,0.99,2.63,2.94,1.65,,,,
August,,,,,,,,,,0.3,4.84,3.1,1.64,1.91,1.88,5.59,,,,
September,,,,,,,,,,1.2,0.84,1.27,1.77,3.95,1.7,3.46,,,,
October,,,,,,,,,,4.63,2.9,2.96,2.04,3.95,3.97,0.48,,,,
November,,,,,,,,,,6.76,3.55,1.54,1.87,4.63,0.49,6.42,,,,
December,,,,,,,,,,1.8,1.81,3.65,1.61,1.82,3.57,2.68,,,,
Total,,,,,,,,,,33.21,34.6,27.54,24.46,28.08,27.04,34.26,,,,
